Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,"NLA MOTOR, 7 1/2, 3 PHASE 230/460V 213JM REP W/5300-027- E368",,AOS_E368,,shopify,,,Accessories,,,A.O. Smith,,"no-cat,no-image",,,,,,,,True,,,,"NLA MOTOR, 7 1/2, 3 PHASE 230/460V 213JM REP W/5300-027- E368",,,True,A.O. Smith E368,None,0,deny,,"NLA MOTOR, 7 1/2, 3 PHASE 230/460V 213JM REP W/5300-027- E368 NLA MOTOR, 7 1/2, 3 PHASE 230/460V 213JM REP W/5300-027",,None,,E368,manual
,,,,Part Number,"3/4 HP, 1.27 SF, 11.8/5.9 AMPS, 115/230V- USQG1072A",,AOS_USQG1072A,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,"3/4 HP, 1.27 SF, 11.8/5.9 AMPS, 115/230V- USQG1072A",,,True,A.O. Smith USQG1072A,786674033284,5,deny,,"3/4 HP, 1.27 SF, 11.8/5.9 AMPS, 115/230V- USQG1072A 3/4 HP, 1.27 SF, 11.8/5.9 AMPS, 115/230V",,207.07,,USQG1072A,manual
,,,,Part Number,Motor- N419,,AOS_N419,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- N419,,,True,A.O. Smith N419,None,5,deny,,Motor- N419 None,,2134.84,,N419,manual
,,,,Part Number,- CT1102,,AOS_CT1102,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- CT1102,,,True,A.O. Smith CT1102,786674017260,5,deny,,- CT1102 None,,288.37,,CT1102,manual
,,,,Part Number,"NO LONGER AVAILABLE, PLEASE CALL- R237",,AOS_R237,,shopify,,,Accessories,,,A.O. Smith,,"no-cat,no-image",,,,,,,,True,,,,"NO LONGER AVAILABLE, PLEASE CALL- R237",,,True,A.O. Smith R237,None,0,deny,,"NO LONGER AVAILABLE, PLEASE CALL- R237 NO LONGER AVAILABLE, PLEASE CALL",,None,,R237,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_R236.jpg,,,,Part Number,Motor- R236,,AOS_R236,,shopify,,,Pumps,,R236,A.O. Smith,,"motor,residential,part,pool,has-image",,,,,,,,True,,,,Motor- R236,,,True,A.O. Smith R236,None,5,deny,,"Motor- R236 LHK50, 5 HP, 3 PHASE, 208-220/440V, 182TY FRAME, 14.0-13.5/6.75 AMPS",,1098.4,,R236,manual
,,,,Part Number,- TCP12006,,AOS_TCP12006,,shopify,,,Pumps,,,A.O. Smith,,"pumps,commercial,part,pool,no-image",,,,,,,,True,,None,,- TCP12006,,,True,A.O. Smith TCP12006,786674059208,5,deny,,- TCP12006 None,,621.47,,TCP12006,manual
,,,,Part Number,Motor- TCP12005,,AOS_TCP12005,,shopify,,,Pumps,,,A.O. Smith,,"motor,commercial,part,pool,no-image",,,,,,,,True,,None,,Motor- TCP12005,,,True,A.O. Smith TCP12005,786674059192,5,deny,,Motor- TCP12005 None,,612.91,,TCP12005,manual
,,,,Part Number,Motor- STG1102A,,AOS_STG1102A,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,None,,Motor- STG1102A,,,True,A.O. Smith STG1102A,786674031822,5,deny,,Motor- STG1102A None,,256.92,,STG1102A,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_BN37.jpg,,,,Part Number,"1 - .12 HP, 1.00 SF, 11.0/2.9 AMPS, 115V- BN37",,AOS_BN37,,shopify,,,Accessories,,BN37,A.O. Smith,,"no-cat,has-image",,,,,,,,True,,,,"1 - .12 HP, 1.00 SF, 11.0/2.9 AMPS, 115V- BN37",,,True,A.O. Smith BN37,None,0,deny,,"1 - .12 HP, 1.00 SF, 11.0/2.9 AMPS, 115V- BN37 1 - .12 HP, 1.00 SF, 11.0/2.9 AMPS, 115V",,None,,BN37,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_BN36.jpg,,,,Part Number,Motor- BN36,,AOS_BN36,,shopify,,,Pumps,,BN36,A.O. Smith,,"motor,residential,part,pool,has-image",,,,,,,,True,,None,,Motor- BN36,,,True,A.O. Smith BN36,663001195177,5,deny,,"Motor- BN36 3/4 -.10 HP, 1.00 SF, 8.8/2.6 AMPS, 115V",,187.33,,BN36,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_BN34.jpg,,,,Part Number,"1-1/2 -.18 HP, 1.00 SF, 8.0/2.6 AMPS, 230V- BN34",,AOS_BN34,,shopify,,,Accessories,,BN34,A.O. Smith,,"no-cat,has-image",,,,,,,,True,,,,"1-1/2 -.18 HP, 1.00 SF, 8.0/2.6 AMPS, 230V- BN34",,,True,A.O. Smith BN34,None,0,deny,,"1-1/2 -.18 HP, 1.00 SF, 8.0/2.6 AMPS, 230V- BN34 1-1/2 -.18 HP, 1.00 SF, 8.0/2.6 AMPS, 230V",,None,,BN34,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_USQ1102.jpg,,,,Part Number,Motor- USQ1102,,AOS_USQ1102,,shopify,,,Pumps,,USQ1102,A.O. Smith,,"motor,residential,part,pool,has-image",,,,,,,,True,,None,,Motor- USQ1102,,,True,A.O. Smith USQ1102,786674033246,5,deny,,"Motor- USQ1102 NO LONGER AVAILABLE, PLEASE CALL",,204.83,,USQ1102,manual
,,,,Part Number,Motor- T3072,,AOS_T3072,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- T3072,,,True,A.O. Smith T3072,None,5,deny,,Motor- T3072 None,,242.08,,T3072,manual
