Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
http://val-pakproducts.com/vpk/uploads/american-products-return-fitting-black-one-half-V20-406-510x600.jpg,,,,Part Number,"V20-406 - Return Fitting - Black 1/2""",,VAL_V20-406,,shopify,,,White Goods,,V20-406,Val-Pak,,"return,val-pak,residential,american products,american,part,pool,val-pak,has-image",,,,,,,,True,,None,,"V20-406 - Return Fitting - Black 1/2""",,,True,Val-Pak V20-406,811636024656,5,deny,,"V20-406 - Return Fitting - Black 1/2"" None",,4.31,,V20-406,manual
http://val-pakproducts.com/vpk/uploads/whisperflo-clamp-cam-and-ramp-almond-V20-407-510x600.jpg,,,,Part Number,V20-407 - Whisperflo Clamp Cam & Ramp Almond,,VAL_V20-407,,shopify,,,Pumps,,V20-407,Val-Pak,,"val-pak,residential,part,pool,val-pak,has-image",,,,,,,,True,,None,,V20-407 - Whisperflo Clamp Cam & Ramp Almond,,,True,Val-Pak V20-407,811636020801,5,deny,,V20-407 - Whisperflo Clamp Cam & Ramp Almond None,,22.67,,V20-407,manual
http://val-pakproducts.com/vpk/uploads/ortega-2-inch-check-valve-seat-assembly-V20-068-510x600.jpg,,,,Part Number,"V20-068 - Ortega 2"" Check Valve Seat Assembly",,VAL_V20-068,,shopify,,,Valves,,V20-068,Val-Pak,,"val-pak,residential,valve,part,check,pool,val-pak,has-image",,,,,,,,True,,None,,"V20-068 - Ortega 2"" Check Valve Seat Assembly",,,True,Val-Pak V20-068,811636027589,5,deny,,"V20-068 - Ortega 2"" Check Valve Seat Assembly None",,36.42,,V20-068,manual
,,,,Part Number,"11005010 - 1/2 HP 115/230 1-1/2"" Suction Less Trap",,VAL_11005010,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"11005010 - 1/2 HP 115/230 1-1/2"" Suction Less Trap",,,True,Val-Pak 11005010,811636020252,5,deny,,"11005010 - 1/2 HP 115/230 1-1/2"" Suction Less Trap None",,827.19,,11005010,manual
,,,,Part Number,V40-427 - Dominator Medium Head Impeller Screw 10/Bag,,VAL_V40-427,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V40-427 - Dominator Medium Head Impeller Screw 10/Bag,,,True,Val-Pak V40-427,811636025844,5,deny,,V40-427 - Dominator Medium Head Impeller Screw 10/Bag None,,5.69,,V40-427,manual
,,,,Part Number,V40-478-T3 - 1.5 HP Motor 208-230-460 3 PH TEFC,,VAL_V40-478-T3,,shopify,,,Motors,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V40-478-T3 - 1.5 HP Motor 208-230-460 3 PH TEFC,,,True,Val-Pak V40-478-T3,811636026988,5,deny,,V40-478-T3 - 1.5 HP Motor 208-230-460 3 PH TEFC None,,437.3,,V40-478-T3,manual
,,,,Part Number,"11510000-T - 1 HP 208-230/460 2"" Suction",,VAL_11510000-T,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"11510000-T - 1 HP 208-230/460 2"" Suction",,,True,Val-Pak 11510000-T,811636026216,5,deny,,"11510000-T - 1 HP 208-230/460 2"" Suction None",,1095.79,,11510000-T,manual
,,,,Part Number,"159150H - 1-1/2 HP 2"" Suction",,VAL_159150H,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"159150H - 1-1/2 HP 2"" Suction",,,True,Val-Pak 159150H,811636025783,5,deny,,"159150H - 1-1/2 HP 2"" Suction None",,307.24,,159150H,manual
http://val-pakproducts.com/vpk/uploads/challenger-pump-basket-V36-192-e1429235648140-510x600.jpg,,,,Part Number,V36-192 - Challenger Pump Basket 12/Box,,VAL_V36-192,,shopify,,,Pumps,,V36-192,Val-Pak,,"val-pak,residential,pac-fab,part,pool,val-pak,has-image",,,,,,,,True,,None,,V36-192 - Challenger Pump Basket 12/Box,,,True,Val-Pak V36-192,811636022423,5,deny,,V36-192 - Challenger Pump Basket 12/Box None,,15.05,,V36-192,manual
http://val-pakproducts.com/vpk/uploads/ortega-valve-complete-2-inch-brass-V20-089-510x600.jpg,,,,Part Number,"V20-089 - Ortega Valve Complete 2"" - Brass",,VAL_V20-089,,shopify,,,Valves,,V20-089,Val-Pak,,"val-pak,residential,valve,part,pool,val-pak,has-image",,,,,,,,True,,None,,"V20-089 - Ortega Valve Complete 2"" - Brass",,,True,Val-Pak V20-089,811636027251,5,deny,,"V20-089 - Ortega Valve Complete 2"" - Brass None",,318.39,,V20-089,manual
,,,,Part Number,"V34-129S - Filter Grid 17.5"" x 24"" ",,VAL_V34-129S,,shopify,,,Filters,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V34-129S - Filter Grid 17.5"" x 24"" ",,,True,Val-Pak V34-129S,811636021945,5,deny,,"V34-129S - Filter Grid 17.5"" x 24""  None",,31.84,,V34-129S,manual
,,,,Part Number,"V30-480 - Satellite 24"" Tank O-Ring",,VAL_V30-480,,shopify,,,Lighting,,,Val-Pak,,"val-pak,residential,o-ring,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V30-480 - Satellite 24"" Tank O-Ring",,,True,Val-Pak V30-480,,5,deny,,"V30-480 - Satellite 24"" Tank O-Ring None",,21.35,,V30-480,manual
,,,,Part Number,V32-607 - D-10 Hose Washer 50/Bag,,VAL_V32-607,,shopify,,,Miscellaneous,,,Val-Pak,,"hose,val-pak,residential,part,pool access,pool,val-pak,no-image",,,,,,,,True,,None,,V32-607 - D-10 Hose Washer 50/Bag,,,True,Val-Pak V32-607,,5,deny,,V32-607 - D-10 Hose Washer 50/Bag None,,2.54,,V32-607,manual
http://val-pakproducts.com/vpk/uploads/B5-hose-with-washer-V32-606-510x600.jpg,,,,Part Number,V32-606 - B-5 Hose w/ Washer,,VAL_V32-606,,shopify,,,Miscellaneous,,V32-606,Val-Pak,,"hose,val-pak,residential,part,pool access,pool,val-pak,has-image",,,,,,,,True,,None,,V32-606 - B-5 Hose w/ Washer,,,True,Val-Pak V32-606,811636021655,5,deny,,V32-606 - B-5 Hose w/ Washer None,,17.78,,V32-606,manual
http://val-pakproducts.com/vpk/uploads/G09-tire-V32-605-510x600.jpg,,,,Part Number,V32-605 - G09 Tire,,VAL_V32-605,,shopify,,,Miscellaneous,,V32-605,Val-Pak,,"val-pak,residential,part,pool access,pool,val-pak,has-image",,,,,,,,True,,None,,V32-605 - G09 Tire,,,True,Val-Pak V32-605,811636021648,5,deny,,V32-605 - G09 Tire None,,23.27,,V32-605,manual
http://val-pakproducts.com/vpk/uploads/A-40-gasket-V32-6042-510x600.jpg,,,,Part Number,V32-604 - A-40 Gasket,,VAL_V32-604,,shopify,,,Miscellaneous,,V32-604,Val-Pak,,"val-pak,residential,gas,part,gasket,pool access,pool,val-pak,has-image",,,,,,,,True,,None,,V32-604 - A-40 Gasket,,,True,Val-Pak V32-604,811636021631,5,deny,,V32-604 - A-40 Gasket None,,22.29,,V32-604,manual
,,,,Part Number,91500100S - Volute Gasket 3.0 HP ,,VAL_91500100S,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,gasket,pool,val-pak,no-image",,,,,,,,True,,None,,91500100S - Volute Gasket 3.0 HP ,,,True,Val-Pak 91500100S,811636026391,5,deny,,91500100S - Volute Gasket 3.0 HP  None,,7.19,,91500100S,manual
,,,,Part Number,159070H-1 - Dominator Pump 3/4 HP High Head 115/230 1 PH,,VAL_159070H-1,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,159070H-1 - Dominator Pump 3/4 HP High Head 115/230 1 PH,,,True,Val-Pak 159070H-1,811636025639,5,deny,,159070H-1 - Dominator Pump 3/4 HP High Head 115/230 1 PH None,,565.72,,159070H-1,manual
,,,,Part Number,V60-550S - Hayward Cartridge Manifold ,,VAL_V60-550S,,shopify,,,Filters,,,Val-Pak,,"val-pak,cartridge,residential,part,hayward,pool,val-pak,no-image",,,,,,,,True,,None,,V60-550S - Hayward Cartridge Manifold ,,,True,Val-Pak V60-550S,811636024328,5,deny,,V60-550S - Hayward Cartridge Manifold  None,,43.45,,V60-550S,manual
