Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,1.5in Male Threaded Plug- 25520-040-000,,CUS_25520-040-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,1.5in Male Threaded Plug- 25520-040-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25520-040-000,None,5,deny,,1.5in Male Threaded Plug- 25520-040-000 None,,1.71,,25520-040-000,manual
,,,,Part Number,Pool Skimmer Socks Std (5/Bag)- 58307-000-000,,CUS_58307-000-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,pool,residential,wholegood,no-image",,,,,,,,True,,,,Pool Skimmer Socks Std (5/Bag)- 58307-000-000,,,True,CUSTOM MOLDED PRODUCTS INC. 58307-000-000,None,5,deny,,Pool Skimmer Socks Std (5/Bag)- 58307-000-000 None,,4.36,,58307-000-000,manual
,,,,Part Number,Vac Lock 1-1/2in MIP; Dark Gray- 25505-007-000,,CUS_25505-007-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Vac Lock 1-1/2in MIP; Dark Gray- 25505-007-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25505-007-000,None,5,deny,,Vac Lock 1-1/2in MIP; Dark Gray- 25505-007-000 None,,14.1,,25505-007-000,manual
,,,,Part Number,Vac Lock 1-1/2in MIP; Dark Blue- 25505-069-000,,CUS_25505-069-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Vac Lock 1-1/2in MIP; Dark Blue- 25505-069-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25505-069-000,None,5,deny,,Vac Lock 1-1/2in MIP; Dark Blue- 25505-069-000 None,,16.24,,25505-069-000,manual
,,,,Part Number,Bushing Adapter (1.5in Slipx2.25in Barb)- 21029-150-000,,CUS_21029-150-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Bushing Adapter (1.5in Slipx2.25in Barb)- 21029-150-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21029-150-000,None,5,deny,,Bushing Adapter (1.5in Slipx2.25in Barb)- 21029-150-000 None,,2.27,,21029-150-000,manual
,,,,Part Number,Flush Mount Return Fitting Body; White- 25557-000-010,,CUS_25557-000-010,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"return,residential,wholegood,pool,no-image",,,,,,,,True,,,,Flush Mount Return Fitting Body; White- 25557-000-010,,,True,CUSTOM MOLDED PRODUCTS INC. 25557-000-010,None,5,deny,,Flush Mount Return Fitting Body; White- 25557-000-010 None,,2.83,,25557-000-010,manual
,,,,Part Number,"VGB Galaxy Lid & Plaster Frame 7-3/4""; White- 25539-100-000",,CUS_25539-100-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,"VGB Galaxy Lid & Plaster Frame 7-3/4""; White- 25539-100-000",,,True,CUSTOM MOLDED PRODUCTS INC. 25539-100-000,None,5,deny,,"VGB Galaxy Lid & Plaster Frame 7-3/4""; White- 25539-100-000 None",,11.11,,25539-100-000,manual
,,,,Part Number,Rope Anchor (Steel Pin); Black- 25568-004-000,,CUS_25568-004-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Rope Anchor (Steel Pin); Black- 25568-004-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25568-004-000,None,5,deny,,Rope Anchor (Steel Pin); Black- 25568-004-000 None,,7.27,,25568-004-000,manual
,,,,Part Number,FiberGlass Wall Fitting with Eyeball; Gray- 25523-701-000,,CUS_25523-701-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,FiberGlass Wall Fitting with Eyeball; Gray- 25523-701-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25523-701-000,None,5,deny,,FiberGlass Wall Fitting with Eyeball; Gray- 25523-701-000 None,,6.71,,25523-701-000,manual
,,,,Part Number,Pulsator Eyeball Assembly Blue- 23315-119-000,,CUS_23315-119-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Pulsator Eyeball Assembly Blue- 23315-119-000,,,True,CUSTOM MOLDED PRODUCTS INC. 23315-119-000,None,5,deny,,Pulsator Eyeball Assembly Blue- 23315-119-000 None,,10.95,,23315-119-000,manual
,,,,Part Number,"Vinyl Liner Pool Main Drain Ring; 8"" Galaxy Lid; White- 25548-000-000",,CUS_25548-000-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"drain,pool,residential,wholegood,no-image",,,,,,,,True,,,,"Vinyl Liner Pool Main Drain Ring; 8"" Galaxy Lid; White- 25548-000-000",,,True,CUSTOM MOLDED PRODUCTS INC. 25548-000-000,None,5,deny,,"Vinyl Liner Pool Main Drain Ring; 8"" Galaxy Lid; White- 25548-000-000 None",,11.11,,25548-000-000,manual
,,,,Part Number,"Vinyl/Fiberglass Main Drain (SO;BO) Galaxy, 2Pack; Gray- 25515-001-200",,CUS_25515-001-200,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"drain,residential,wholegood,pool,no-image",,,,,,,,True,,,,"Vinyl/Fiberglass Main Drain (SO;BO) Galaxy, 2Pack; Gray- 25515-001-200",,,True,CUSTOM MOLDED PRODUCTS INC. 25515-001-200,None,5,deny,,"Vinyl/Fiberglass Main Drain (SO;BO) Galaxy, 2Pack; Gray- 25515-001-200 None",,55.69,,25515-001-200,manual
,,,,Part Number,Econo Union 90 Deg 1.5in RB X 1.5in MPT- 21058-200-000,,CUS_21058-200-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Econo Union 90 Deg 1.5in RB X 1.5in MPT- 21058-200-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21058-200-000,None,5,deny,,Econo Union 90 Deg 1.5in RB X 1.5in MPT- 21058-200-000 None,,4.45,,21058-200-000,manual
,,,,Part Number,Pulsator Eyeball Assembly White- 23315-100-000,,CUS_23315-100-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Pulsator Eyeball Assembly White- 23315-100-000,,,True,CUSTOM MOLDED PRODUCTS INC. 23315-100-000,None,5,deny,,Pulsator Eyeball Assembly White- 23315-100-000 None,,9.65,,23315-100-000,manual
,,,,Part Number,Vinyl Liner Skimmer (Regular Mouth; Square Lid); White- 25160-010-000,,CUS_25160-010-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,residential,wholegood,pool,no-image",,,,,,,,True,,,,Vinyl Liner Skimmer (Regular Mouth; Square Lid); White- 25160-010-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25160-010-000,None,5,deny,,Vinyl Liner Skimmer (Regular Mouth; Square Lid); White- 25160-010-000 None,,98.71,,25160-010-000,manual
,,,,Part Number,FiberGlass Skimmer (Regular Mouth; Square Lid) White; Solid Front- 25160-010-001,,CUS_25160-010-001,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,residential,wholegood,pool,no-image",,,,,,,,True,,,,FiberGlass Skimmer (Regular Mouth; Square Lid) White; Solid Front- 25160-010-001,,,True,CUSTOM MOLDED PRODUCTS INC. 25160-010-001,None,5,deny,,FiberGlass Skimmer (Regular Mouth; Square Lid) White; Solid Front- 25160-010-001 None,,104.52,,25160-010-001,manual
,,,,Part Number,"7-3/4"" Galaxy Drain Cover with Screw Pack; Gray- 25507-001-000",,CUS_25507-001-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"cover,drain,residential,wholegood,pool,no-image",,,,,,,,True,,,,"7-3/4"" Galaxy Drain Cover with Screw Pack; Gray- 25507-001-000",,,True,CUSTOM MOLDED PRODUCTS INC. 25507-001-000,None,5,deny,,"7-3/4"" Galaxy Drain Cover with Screw Pack; Gray- 25507-001-000 None",,7.25,,25507-001-000,manual
,,,,Part Number,Mnfld(1.5inS x1.5inSpg x (16) 3/8in RB)- 21151-160-000,,CUS_21151-160-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Mnfld(1.5inS x1.5inSpg x (16) 3/8in RB)- 21151-160-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21151-160-000,None,5,deny,,Mnfld(1.5inS x1.5inSpg x (16) 3/8in RB)- 21151-160-000 None,,9.32,,21151-160-000,manual
,,,,Part Number,Flow Outlet Cap; Black- 25552-024-300,,CUS_25552-024-300,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Flow Outlet Cap; Black- 25552-024-300,,,True,CUSTOM MOLDED PRODUCTS INC. 25552-024-300,None,5,deny,,Flow Outlet Cap; Black- 25552-024-300 None,,2.48,,25552-024-300,manual
,,,,Part Number,Shallow Gunite Pool Main Drain (2in S) Galaxy; Light Blue- 25513-159-000,,CUS_25513-159-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"drain,pool,unit,residential,wholegood,no-image",,,,,,,,True,,,,Shallow Gunite Pool Main Drain (2in S) Galaxy; Light Blue- 25513-159-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25513-159-000,None,5,deny,,Shallow Gunite Pool Main Drain (2in S) Galaxy; Light Blue- 25513-159-000 None,,32.01,,25513-159-000,manual
