Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,X77021 - ,,ZOD_X77021,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77021 - ,,,TRUE,Zodiac X77021,7.38919E+11,5,deny,,X77021 -  None,,40.56,,X77021,manual
,,,,Part Number,X77014 - Zodiac X7 Wing *Available While Supplies Last,,ZOD_X77014,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77014 - Zodiac X7 Wing *Available While Supplies Last,,,TRUE,Zodiac X77014,7.38919E+11,5,deny,,X77014 - Zodiac X7 Wing *Available While Supplies Last None,,29.49,,X77014,manual
,,,,Part Number,X77011 - Zodiac Float Arm/Handle With Locks,,ZOD_X77011,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77011 - Zodiac Float Arm/Handle With Locks,,,TRUE,Zodiac X77011,7.38919E+11,5,deny,,X77011 - Zodiac Float Arm/Handle With Locks None,,59.59,,X77011,manual
,,,,Part Number,X77010 - Discontinued,,ZOD_X77010,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,,,X77010 - Discontinued,,,TRUE,Zodiac X77010,None,0,deny,,X77010 - Discontinued None,,None,,X77010,manual
,,,,Part Number,X77000 - ,,ZOD_X77000,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77000 - ,,,TRUE,Zodiac X77000,7.38919E+11,5,deny,,X77000 -  None,,84.92,,X77000,manual
,,,,Part Number,"X73010 - Zodiac R-Kit, Diaphragm , All Models US/MEX",,ZOD_X73010,,shopify,,,Cleaners,,,Zodiac,,"residential,kit,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,"X73010 - Zodiac R-Kit, Diaphragm , All Models US/MEX",,,TRUE,Zodiac X73010,7.38919E+11,5,deny,,"X73010 - Zodiac R-Kit, Diaphragm , All Models US/MEX None",,17.18,,X73010,manual
,,,,Part Number,X7 - **Discontinued** Zodiac Quattro,,ZOD_X7,,shopify,,,Cleaners,,,Zodiac,,"residential,zodiac,part,zodiac,suction,pool,no-image",,,,,,,,TRUE,,None,,X7 - **Discontinued** Zodiac Quattro,,,TRUE,Zodiac X7,7.38919E+11,5,deny,,X7 - **Discontinued** Zodiac Quattro None,,588.47,,X7,manual
,,,,Part Number,"X38210S - Zodiac Hose Section Twist Lock, 1 Meter *Available While Supplies Last REPLACMENT IS R0527700",,ZOD_X38210S,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,,,"X38210S - Zodiac Hose Section Twist Lock, 1 Meter *Available While Supplies Last REPLACMENT IS R0527700",,,TRUE,Zodiac X38210S,None,5,deny,,"X38210S - Zodiac Hose Section Twist Lock, 1 Meter *Available While Supplies Last REPLACMENT IS R0527700 None",,18.52,,X38210S,manual
,,,,Part Number,"X38210 - Zodiac Twist Lock Hose 1 Meter Hose Kit , 12/PK *Available While Supplies Last REPLACMENT IS R0527800",,ZOD_X38210,,shopify,,,Cleaners,,,Zodiac,,"residential,kit,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,"X38210 - Zodiac Twist Lock Hose 1 Meter Hose Kit , 12/PK *Available While Supplies Last REPLACMENT IS R0527800",,,TRUE,Zodiac X38210,7.38919E+11,5,deny,,"X38210 - Zodiac Twist Lock Hose 1 Meter Hose Kit , 12/PK *Available While Supplies Last REPLACMENT IS R0527800 None",,194.39,,X38210,manual
,,,,Part Number,WT000002 - ,,ZOD_WT000002,,shopify,,,Lighting,,,Zodiac,,"light,spa,fountain valley spa,part,auto controller,residential,lighting,zodiac,zodiac,no-image",,,,,,,,TRUE,,None,,WT000002 - ,,,TRUE,Zodiac WT000002,,5,deny,,WT000002 -  None,,164.48,,WT000002,manual
,,,,Part Number,"WSLV100WS50 - Jandy Pro Series Small White Light 12V, 100W S S, 50' Cord",,ZOD_WSLV100WS50,,shopify,,,Lighting,,,Zodiac,,"auto controller,light,jandy,part,lighting,residential,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,None,,"WSLV100WS50 - Jandy Pro Series Small White Light 12V, 100W S S, 50' Cord",,,TRUE,Zodiac WSLV100WS50,52337027533,5,deny,,"WSLV100WS50 - Jandy Pro Series Small White Light 12V, 100W S S, 50' Cord None",,204.29,,WSLV100WS50,manual
,,,,Part Number,"WSLV100WS30 - Jandy Pro Series Small White Light 12V, 100W S S, 30' Cord",,ZOD_WSLV100WS30,,shopify,,,Lighting,,,Zodiac,,"auto controller,light,jandy,part,lighting,residential,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,None,,"WSLV100WS30 - Jandy Pro Series Small White Light 12V, 100W S S, 30' Cord",,,TRUE,Zodiac WSLV100WS30,52337027526,5,deny,,"WSLV100WS30 - Jandy Pro Series Small White Light 12V, 100W S S, 30' Cord None",,182.96,,WSLV100WS30,manual
