Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,Zodiac Cassette Assembly Complete *Available While Supplies Last W83383,,ZOD_W83383,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,suction,pool,has-image",,,,,,,,TRUE,,,,Zodiac Cassette Assembly Complete *Available While Supplies Last W83383,,,TRUE,Zodiac W83383,None,5,deny,,Zodiac Cassette Assembly Complete *Available While Supplies Last W83383 CASSETTE ASSY COMPLETE,,106.3,,W83383,manual
,,,,Part Number,Zodiac Baracuda Diaphragm Chamber With Comp Ring *Available While Supplies Last W83382,,ZOD_W83382,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,suction,pool,has-image",,,,,,,,TRUE,,0.1,,Zodiac Baracuda Diaphragm Chamber With Comp Ring *Available While Supplies Last W83382,,,TRUE,Zodiac W83382,7.46824E+11,5,deny,,Zodiac Baracuda Diaphragm Chamber With Comp Ring *Available While Supplies Last W83382 DIAPHRAGM CHAMBER,,16.28,,W83382,manual
,,,,Part Number,"Zodiac G4 Fairing, Weight, Overmould *Available While Supplies Last W83360",,ZOD_W83360,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,suction,pool,has-image",,,,,,,,TRUE,,0.9,,"Zodiac G4 Fairing, Weight, Overmould *Available While Supplies Last W83360",,,TRUE,Zodiac W83360,7.46824E+11,5,deny,,"Zodiac G4 Fairing, Weight, Overmould *Available While Supplies Last W83360 FAIRING W/ RUDDER",,89.25,,W83360,manual
,,,,Part Number,g4 cassette assy complete w83325,,ZOD_w83325,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,g4 cassette assy complete w83325,,,TRUE,Zodiac w83325,None,0,deny,,g4 cassette assy complete w83325 g4 cassette assy complete,,None,,w83325,manual
,,,,Part Number,Baracuda Wheel Adapter AU *Available While Supplies Last W83306,,ZOD_W83306,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,Baracuda Wheel Adapter AU *Available While Supplies Last W83306,,,TRUE,Zodiac W83306,None,5,deny,,Baracuda Wheel Adapter AU *Available While Supplies Last W83306 WHEEL ADAPTER,,9.57,,W83306,manual
,,,,Part Number,OBSOLETE CASSETTE PIPE W/ HAND NUT W83302,,ZOD_W83302,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,OBSOLETE CASSETTE PIPE W/ HAND NUT W83302,,,TRUE,Zodiac W83302,None,0,deny,,OBSOLETE CASSETTE PIPE W/ HAND NUT W83302 OBSOLETE CASSETTE PIPE W/ HAND NUT,,None,,W83302,manual
,,,,Part Number,Zodiac Std Disc Hing 1180 P/Blue Zoom *Available While Supplies Last W83300,,ZOD_W83300,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,suction,pool,has-image",,,,,,,,TRUE,,0.8,,Zodiac Std Disc Hing 1180 P/Blue Zoom *Available While Supplies Last W83300,,,TRUE,Zodiac W83300,7.46824E+11,5,deny,,Zodiac Std Disc Hing 1180 P/Blue Zoom *Available While Supplies Last W83300 SCALLOPED DISC,,71.77,,W83300,manual
,,,,Part Number,OBSOLETE FINE DEBRIS FILTER ELEMENT W83289,,ZOD_W83289,,shopify,,,Filters,,,Zodiac,,"residential,part,zodiac,pool,has-image",,,,,,,,TRUE,,,,OBSOLETE FINE DEBRIS FILTER ELEMENT W83289,,,TRUE,Zodiac W83289,None,0,deny,,OBSOLETE FINE DEBRIS FILTER ELEMENT W83289 OBSOLETE FINE DEBRIS FILTER ELEMENT,,None,,W83289,manual
,,,,Part Number,wheel deflector w83278,,ZOD_w83278,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,wheel deflector w83278,,,TRUE,Zodiac w83278,None,0,deny,,wheel deflector w83278 wheel deflector,,None,,w83278,manual
,,,,Part Number,"Zodiac Wheel Deflector, G2/G3/G4 W83278",,ZOD_W83278,,shopify,,,Cleaners,,,Zodiac,,"residential,accessory,part,zodiac,suction,pool,has-image",,,,,,,,TRUE,,0.2,,"Zodiac Wheel Deflector, G2/G3/G4 W83278",,,TRUE,Zodiac W83278,7.46824E+11,5,deny,,"Zodiac Wheel Deflector, G2/G3/G4 W83278 G-4 WHEEL DEFELCTOR",,21.89,,W83278,manual
