Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,GASKET PACKAGED- G-44PK,,ALA_G-44PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET PACKAGED- G-44PK,,,True,Aladdin G-44PK,None,5,deny,,GASKET PACKAGED- G-44PK None,,2.35,,G-44PK,manual
,,,,Part Number,O-RING PACKAGED- O-169PK,,ALA_O-169PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-169PK,,,True,Aladdin O-169PK,None,5,deny,,O-RING PACKAGED- O-169PK None,,6.43,,O-169PK,manual
,,,,Part Number,- 923,,SUP_923,,shopify,,,White Goods,,,SUPER-PRO,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- 923,,,True,SUPER-PRO 923,,5,deny,,- 923 None,,11.39,,923,manual
,,,,Part Number,- 925,,SUP_925,,shopify,,,White Goods,,,SUPER-PRO,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- 925,,,True,SUPER-PRO 925,,5,deny,,- 925 None,,10.66,,925,manual
,,,,Part Number,- 924,,SUP_924,,shopify,,,White Goods,,,SUPER-PRO,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- 924,,,True,SUPER-PRO 924,601402265815,5,deny,,- 924 None,,9.67,,924,manual
,,,,Part Number,- 927,,SUP_927,,shopify,,,White Goods,,,SUPER-PRO,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- 927,,,True,SUPER-PRO 927,601402265846,5,deny,,- 927 None,,11.73,,927,manual
,,,,Part Number,- 926,,SUP_926,,shopify,,,White Goods,,,SUPER-PRO,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- 926,,,True,SUPER-PRO 926,601402265839,5,deny,,- 926 None,,11.15,,926,manual
,,,,Part Number,Pump Cart Base- 763,,ALA_763,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,Pump Cart Base- 763,,,True,Aladdin 763,None,5,deny,,Pump Cart Base- 763 None,,67.77,,763,manual
,,,,Part Number,O-RING PACKAGED- O-186PK,,ALA_O-186PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-186PK,,,True,Aladdin O-186PK,None,5,deny,,O-RING PACKAGED- O-186PK None,,1.34,,O-186PK,manual
,,,,Part Number,- O-50,,SUP_O-50,,shopify,,,Maintenance,,,SUPER-PRO,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- O-50,,,True,SUPER-PRO O-50,601402111594,5,deny,,- O-50 None,,2.32,,O-50,manual
,,,,Part Number,O-RING PACKAGED- O-359PK,,ALA_O-359PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-359PK,,,True,Aladdin O-359PK,None,5,deny,,O-RING PACKAGED- O-359PK None,,1.93,,O-359PK,manual
,,,,Part Number,GASKET BULK- G-64R,,ALA_G-64R,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET BULK- G-64R,,,True,Aladdin G-64R,None,5,deny,,GASKET BULK- G-64R None,,2.14,,G-64R,manual
,,,,Part Number,GASKET BULK- G-64P,,ALA_G-64P,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET BULK- G-64P,,,True,Aladdin G-64P,None,5,deny,,GASKET BULK- G-64P None,,2.06,,G-64P,manual
,,,,Part Number,- G-317-9,,SUP_G-317-9,,shopify,,,Maintenance,,,SUPER-PRO,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- G-317-9,,,True,SUPER-PRO G-317-9,601402111433,5,deny,,- G-317-9 None,,6.04,,G-317-9,manual
,,,,Part Number,O-RING PACKAGED- O-86PK,,ALA_O-86PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-86PK,,,True,Aladdin O-86PK,None,5,deny,,O-RING PACKAGED- O-86PK None,,7.98,,O-86PK,manual
,,,,Part Number,- O-183-9,,SUP_O-183-9,,shopify,,,Maintenance,,,SUPER-PRO,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- O-183-9,,,True,SUPER-PRO O-183-9,601402113635,5,deny,,- O-183-9 None,,7.79,,O-183-9,manual
,,,,Part Number,O-RING BULK- O-439,,ALA_O-439,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING BULK- O-439,,,True,Aladdin O-439,None,5,deny,,O-RING BULK- O-439 None,,1.98,,O-439,manual
,,,,Part Number,O-RING BULK- O-438,,ALA_O-438,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING BULK- O-438,,,True,Aladdin O-438,None,5,deny,,O-RING BULK- O-438 None,,1.15,,O-438,manual
,,,,Part Number,GASKET BULK- G-421,,ALA_G-421,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET BULK- G-421,,,True,Aladdin G-421,None,5,deny,,GASKET BULK- G-421 None,,1.51,,G-421,manual
,,,,Part Number,GASKET BULK- G-426,,ALA_G-426,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET BULK- G-426,,,True,Aladdin G-426,None,5,deny,,GASKET BULK- G-426 None,,2.21,,G-426,manual
,,,,Part Number,O-RING BULK- O-430,,ALA_O-430,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING BULK- O-430,,,True,Aladdin O-430,None,5,deny,,O-RING BULK- O-430 None,,6.49,,O-430,manual
,,,,Part Number,O-RING BULK- O-432,,ALA_O-432,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING BULK- O-432,,,True,Aladdin O-432,None,5,deny,,O-RING BULK- O-432 None,,3.47,,O-432,manual
,,,,Part Number,- AG1091-L,,SUP_AG1091-L,,shopify,,,White Goods,,,SUPER-PRO,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- AG1091-L,,,True,SUPER-PRO AG1091-L,729360032642,5,deny,,- AG1091-L None,,11.05,,AG1091-L,manual
,,,,Part Number,- AG1091-G,,SUP_AG1091-G,,shopify,,,White Goods,,,SUPER-PRO,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- AG1091-G,,,True,SUPER-PRO AG1091-G,729360032697,5,deny,,- AG1091-G None,,12.55,,AG1091-G,manual
,,,,Part Number,O-RING PACKAGED- O-398PK,,ALA_O-398PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-398PK,,,True,Aladdin O-398PK,None,5,deny,,O-RING PACKAGED- O-398PK None,,1.48,,O-398PK,manual
