category,type,part_number,title,price,upc,weight,length,width,height,primary_site,manufacturer
Whole Good,Automation,521109,INTELLICOM 2 ,138.91,788379792169,1,6,3,3,W,Pentair
Whole Good,Automation,521123-B,INTELLICHLOR IC40 REFURB BR,122.41,,N/A,N/A,N/A,N/A,W,Pentair
Whole Good,Automation,521149,SUNTOUCH SVRS ALARM SYS ,317.32,788379803858,7.34,12,12,12,W,Pentair
Whole Good,Automation,521150,EASYTOUCH8 WITH CIC60P ,"1,719.13",788379801175,65.75,41,20.5,7.5,W,Pentair
Whole Good,Automation,521171,XFMR IC15 ,128.88,788379832858,8,8,4,5,w,Pentair
Whole Good,Automation,521172,STS CHEM TNK/PMP COMBO 45MP FXD#3 25PSI W/CHEM,419.27,788379803490,21,23,23,21,54527,Pentair
Whole Good,Automation,521176,SPACOMMAND BLK 150' ,389.92,788379807290,4.212,12,12,3,w,Pentair
Whole Good,Automation,521177,SPACOMMAND BLK 250' ,410.8,788379807306,5,12,12,5,w,Pentair
Whole Good,Automation,521178,SPACOMMAND WHT 150' ,389.92,788379807313,4.212,12,12,3,w,Pentair
Whole Good,Automation,521179,SPACOMMAND WHT 250' ,410.8,788379807320,4.212,12,12,3,w,Pentair
Whole Good,Automation,521180,KIT SPACOMMAND MUD BOX ,23.72,788379807337,1,11,10,5,w,Pentair
Whole Good,Automation,521209,QUICKTOUCH II ,129.58,788379848262,2,12,7,3,w,Pentair
Whole Good,Automation,521213,LOADCENTER IT W/SCG XFMR ,547.94,788379848088,66,41,21,8,w,Pentair
Whole Good,Automation,521214,POWERCENTER IT W/SCG XFMR,468.06,788379848095,40,23,21,8,w,Pentair
Whole Good,Automation,521215,LOADCENTER IT W/O SCG XFMR,410.54,788379848101,40,41,21,8,w,Pentair
Whole Good,Automation,521216,POWERCENTER IT W/O SCG XFMR,344.16,788379848118,34,23,21,8,w,Pentair
Whole Good,Automation,521219,KIT CLC IT PERS I5+3 ,539.74,788379848125,5,20,18.5,5.5,w,Pentair
Whole Good,Automation,521220,KIT CLC IT PERS I7+3 ,986.96,788379848132,12.25,20,18,5,w,Pentair
Whole Good,Automation,521221,KIT CLC IT PERS I9+3 ,"1,420.19",788379848149,13.1,20,18,5,w,Pentair
Whole Good,Automation,521222,KIT CLC IT PERS I10+3D ,"1,373.01",788379848156,5,18,14,4.5,w,Pentair
Whole Good,Automation,521223,KIT CLC IT PERS I5+3S ,422.68,788379848163,5,18,14,4.5,w,Pentair
Whole Good,Automation,521224,KIT CLC IT PERS I9+3S ,"1,203.57",788379848170,5,18,14,4.5,w,Pentair
Whole Good,Automation,521225,KIT CLC IT PERS I5X ,567.75,788379848187,5,18,14,4.5,w,Pentair
Whole Good,Automation,521226,KIT CLC IT PERS I10X ,"1,076.11",788379848194,5,18,14,4.5,w,Pentair
Whole Good,Automation,521245,QUICKTCH II REMOTE RPLC ,93.02,788379851415,0.6,6,6,4,W,Pentair
Whole Good,Automation,521246,QUICKTCH II RCVR RPLC ,57.7,788379851422,1,20,16,6,w,Pentair
Whole Good,Automation,521247,COMPOOL TO EASYTCH UPGRD WITH XFMR,444.76,788379803810,4.86,12,9,9,w,Pentair
Whole Good,Automation,521270,SENSORS ORP 5PK ,672.57,788379848668,0.01,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,521271,SENSORS PH 5PK ,672.57,788379848675,N/A,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,521272,SENSORS ORP GOLD 5PK ,975.19,788379848682,N/A,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,521273,SENSORS PH RES 5PK ,370.52,788379848699,N/A,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,521275,SENSORS ORP 25PK ,"3,176.00",788379848705,N/A,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,521276,SENSORS PH 25PK ,"3,176.00",788379848712,N/A,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,521464,LAPTOP TRAINER ET PSL4 ,260.8,788379868383,5,18,16,12,W,Pentair
Whole Good,Automation,521525,"KIT 1ST GEN TO 2ND GEN UPGRD I5+3,I7+3,I9+3",44.28,788379848729,3,22.5,10,5,W,Pentair
Whole Good,Automation,521526,KIT 1ST GEN TO 2ND GEN UPGRD I10+3D,39.93,788379848736,3,22.5,10,5,W,Pentair
Whole Good,Automation,521527,"KIT 1ST GEN TO 2ND GEN UPGRD I5+3S,I9+3S",51.42,788379848743,3,22.5,10,5,W,Pentair
Whole Good,Automation,521528,"KIT 1ST GEN TO 2ND GEN UPGRD I5X,I10X",55.98,788379848750,3,22.5,10,5,W,Pentair
Whole Good,Automation,521529,"KIT 2ND GEN TO 1ST GEN UPGRD I5+3,I7+3,I9+3",24.09,788379848767,13,20,16,6,W,Pentair
Whole Good,Automation,521530,KIT 2ND GEN TO 1ST GEN UPGRD I10+3D,24.66,788379848774,3,22.5,10,5,W,Pentair
Whole Good,Automation,521531,"KIT 2ND GEN TO 1ST GEN UPGRD I5+3S,I9+3S",25.28,788379848781,3,22.5,10,5,W,Pentair
Whole Good,Automation,521532,"KIT 2ND GEN TO 1ST GEN UPGRD I5X,I10X",25.06,788379848798,3,22.5,10,5,W,Pentair
Whole Good,Automation,521590,CNTRL BOX SOLARTOUCH ,147.48,788379856458,2.75,13,7,5,W,Pentair
Whole Good,Automation,521592,SOLARTOUCH W/SOLAR DRAIN-DOWN 3WAY VLV,222.93,788379852122,11.2,19.62,12.75,7.62,W,Pentair
Whole Good,Automation,521622,KIT ICHEM WINTERIZING ,23.54,788379859978,0.05,N/A,N/A,N/A,W,Pentair
Whole Good,Automation,521632,SOLARTOUCH W/NON SOLAR 3WAY VLV,222.93,788379852139,11.2,19.62,12.75,7.62,W,Pentair
Whole Good,Automation,521883,REMOTE IS4 4BTN WHT 50' ,126.26,788379860073,7,21,13,10,W,Pentair
Whole Good,Automation,521884,REMOTE IS4 4BTN GRY 50' ,126.26,788379860080,7,21,13,10,W,Pentair
Whole Good,Automation,521885,REMOTE IS4 4BTN WHT 100' ,145.81,788379860097,7,10,6,4,W,Pentair
Whole Good,Automation,521886,REMOTE IS4 4BTN GRY 100' ,145.81,788379860103,7,10,8,6,W,Pentair
Whole Good,Automation,521887,REMOTE IS4 4BTN WHT 150' ,165.37,788379860110,7,21,13,10,W,Pentair
Whole Good,Automation,521888,REMOTE IS4 4BTN GRY 150' ,165.37,788379860127,4.35,12,7,4,W,Pentair
Whole Good,Automation,521889,REMOTE IS4 4BTN WHT 250' ,204.49,788379860134,7,21,13,10,W,Pentair
Whole Good,Automation,521890,REMOTE IS4 4BTN GRY 250' ,204.49,788379860141,7,21,13,10,W,Pentair
Whole Good,Automation,521891,REMOTE IS4 4BTN BLK 50'' ,126.26,788379860158,7,21,13,10,W,Pentair
Whole Good,Automation,521892,REMOTE IS4 4BTN BLK 100' ,145.81,788379860165,7,21,13,10,W,Pentair
Whole Good,Automation,521893,REMOTE IS4 4BTN BLK 150' ,165.37,788379860172,7,10,6,4,W,Pentair
Whole Good,Automation,521894,REMOTE IS4 4BTN BLK 250 ,204.49,788379860189,7,21,13,10,W,Pentair
Whole Good,Automation,521895,KIT IPH RPLC ACC BAG ,67.45,788379858438,0.75,6,5,3,W,Pentair
Whole Good,Automation,521942,SOLARTOUCH BOOSTER PMP ,158.91,788379859343,4.8,14,9.5,6,W,Pentair
Whole Good,Automation,521964,KIT SCRNLGC WRLS ,143.78,788379858438,2,9,9,4,W,Pentair
Whole Good,Automation,522009,VLV INJ/CHECK KIT ICHEM ,36.59,,0.27,6,5,3,W,Pentair
Whole Good,Automation,522057,SOLARTOUCH DEMO ,43.47,788379863173,2.1,13.5,7,5,W,Pentair
Whole Good,Automation,522075,LAPTOP TRAINER EZTCH ,390.09,788379860288,4.66,18,16,12,W,Pentair
