Part/WG,Category,part_number,title,price,upc,weight,length,width,height,Primary Site,,
Whole Good,Pumps,011610,PMP CHK 200BR 3PH L/H-L ," 5,406.95 ",788379663599,424.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011651,PMP CM50 BR NSF 1PH ," 4,140.45 ",788379663605,352.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011652,PMP CMK50 BR NSF 3PH ," 3,941.39 ",788379663612,336.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011653,PMP CMK75 BR NSF 3PH ," 4,034.52 ",788379663629,346.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011654,PMP CMK100 BR NSF 3PH ," 4,514.99 ",788379663636,374.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011655,PMP CMK150 BR NSF 3PH ," 4,791.10 ",788379663643,396.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011656,PMP CH50 BR NSF 1PH ," 4,140.45 ",788379663650,352.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011657,PMP CHK50 BR NSF 3PH ," 3,941.39 ",788379663667,336.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011658,PMP CHK75 BR NSF 3PH ," 4,034.51 ",788379663674,349.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011659,PMP CHK100 BR NSF 3PH ," 4,515.00 ",788379663681,376.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011660,PMP CHK150 BR NSF 3PH ," 4,791.10 ",788379663698,398.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011661,PMP CHK200 BR NSF 3PH ," 5,793.15 ",788379663704,403.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,011771,PMP WF-23 115/208-230V 3/4HP STD UPRATED, 370.37 ,788379663711,37.84,27.50,12.25,15.25,"E,W",,
Whole Good,Pumps,011772,PMP WF-24 115/208-230V 1HP STD UPRATED, 404.66 ,788379663728,39.70,27.50,12.25,15.25,"E,W",,
Whole Good,Pumps,011773,PMP WF-26 115/208-230V 1.5HP STD UPRATED, 425.95 ,788379663735,41.00,12.50,27.50,15.00,"E,W",,
Whole Good,Pumps,011774,PMP WF-28 115/208-230V 2HP STD UPRATED, 462.34 ,788379663742,53.00,27.50,12.00,14.50,"E,W",,
Whole Good,Pumps,011775,PMP WF-30 208-230V 2 1/2HP STD UPRATED, 544.14 ,788379663759,55.00,12.00,27.50,15.00,"E,W",,
Whole Good,Pumps,012485,PMP W/SWTCH WFDS-24 115V 1HP 2SP UPRATED 60HZ, 461.92 ,788379663865,44.50,27.75,12.50,14.75,E,,
Whole Good,Pumps,012518,PMP W/SWTCH WFDS-26 230V 11/2HP 2SP UPRATED 60HZ, 498.28 ,788379663889,47.15,27.50,12.25,15.00,"E,W",,
Whole Good,Pumps,012530,PMP W/SWTCH WFDS-3 115V 3/4HP 2SP FULLRATED 60HZ, 461.91 ,788379663902,46.20,27.50,12.25,15.25,E,,
Whole Good,Pumps,014700,CMKL-50 MTR ASY 5HP 3PH MED HEAD 50 CYCLE," 2,497.06 ",788379663957,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,014701,CMKL-75 MTR ASY 7.5HP 3PH MED HEAD 50 CYCLE," 2,563.50 ",788379663964,202.0,45.00,21.00,26.00,E,,
Whole Good,Pumps,014702,CMK-100 MTR ASY 10HP 3PH MED HEAD 50 CYCLE," 3,291.56 ",788379663971,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,014703,CMK-150 MTR ASY 15HP 3PH MED HEAD 50 CYCLE," 3,626.31 ",788379663988,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,014801,CHKL-50 MTR ASY 5HP 3P HIGH HEAD 50 CYCLE," 2,497.06 ",788379663995,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,014802,CHKL-75 MTR ASY 7.5HP 3P HIGH HEAD 50 CYCLE," 2,563.50 ",788379664008,202.0,N/A,N/A,N/A,E,,
Whole Good,Pumps,014803,CHKL-100 MTR ASY 10HP 3P HIGH HEAD 50 CYCLE," 3,291.56 ",788379664015,N/A,N/A,N/A,N/A,E,,
