sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
WAT_310-1130SD	806105061577	3	52.83	47.39	1111.43	11	0	a							30	
WAT_3420620-1A	806105072740	3	252.63	225.78	5307.23	11	0	a							30	
WAT_711-6400	806105124920	3	5.77	5.36	123.17	11	0	a							30	
WAT_640-8607 V	806105483102	3	24.29	21.9	512.09	11	0	a							30	
WAT_542-3240B	806105197672	3	8.15	7.49	173.15	11	0	a							30	
WAT_672-4580	806105120250	3	3.96	3.75	85.16	11	0	a							30	
WAT_319-1370	806105065322	3	4.76	4.46	101.96	11	0	a							30	
WAT_417-5020	806105085573	3	3.75	3.56	80.75	11	0	a							30	
WAT_210-6080B	255932100001	3	7.52	6.92	159.92	11	0	a							30	
WAT_110-0100	806105380319	3	2.1	2.09	46.1	11	0	a							30	
WAT_212-6647	806105032676	3	9.18	8.41	194.78	11	0	a							30	
WAT_711-4050	806105124616	3	2.28	2.25	49.88	11	0	a							30	
WAT_212-6640	806105032645	3	9.18	8.41	194.78	11	0	a							30	
WAT_602-5301	806105233295	3	4.11	3.89	88.31	11	0	a							30	
WAT_715-9930	806105350480	3	3.46	3.3	74.66	11	0	a							30	
WAT_310-4060	806105248596	3	13.63	12.39	288.23	11	0	a							30	
WAT_417-5050	806105085610	3	2.98	2.88	64.58	11	0	a							30	
WAT_400-1427E	806105080714	3	4.67	4.39	100.07	11	0	a							30	
WAT_400-1427D	806105080691	3	4.67	4.39	100.07	11	0	a							30	
WAT_218-1430	806105051684	3	5.02	4.7	107.42	11	0	a							30	
WAT_400-1427A	806105080684	3	4.91	4.6	105.11	11	0	a							30	
WAT_229-3281S	806105476128	3	16.15	14.64	341.15	11	0	a							30	
WAT_CLBA012	806105161383	3	99.08	88.68	2082.68	11	0	a							30	
WAT_SG5205347-6S	806105427779	3	623.56	556.96	13096.76	11	0	a							30	
WAT_210-3701B	806105264428	3	11.23	10.24	237.83	11	0	a							30	
WAT_550-4250	806105207807	3	17.65	15.97	372.65	11	0	a							30	
WAT_400-9151	806105082411	3	6.24	5.79	133.04	11	0	a							30	
WAT_711-4000B	806105225047	3	2.55	2.49	55.55	11	0	a							30	
WAT_3420620-15	806105072702	3	219.2	195.92	4605.2	11	0	a							30	
WAT_3711221-1D	806105075963	3	287.25	256.69	6034.25	11	0	a							30	
WAT_212-1520S	806105226198	3	6.91	6.39	147.11	11	0	a							30	
WAT_520-4030	806105098139	3	308.59	275.74	6482.39	11	0	a							30	
WAT_640-9000	806105498434	3	15.96	14.46	337.16	11	0	a							30	
WAT_212-7741S	806105034021	3	19.5	17.63	411.5	11	0	a							30	
WAT_640-4720V	806105367648	3	63.98	57.34	1345.58	11	0	a							30	
WAT_311-1220	806105063946	3	21.47	19.39	452.87	11	0	a							30	
WAT_417-6150	806105086167	3	3.22	3.09	69.62	11	0	a							30	
WAT_BS5205160-6S	806105435088	3	535.92	478.71	11256.32	11	0	a							30	
WAT_711-4300	806105124647	3	5.7	5.3	121.7	11	0	a							30	
WAT_519-6567	806105246264	3	7.36	6.79	156.56	11	0	a							30	
WAT_212-1020	806105029232	3	5.64	5.25	120.44	11	0	a							30	
WAT_519-6560	806105239273	3	7.36	6.79	156.56	11	0	a							30	
WAT_640-4791 V	806105452931	3	38.34	34.45	807.14	11	0	a							30	
WAT_560-D0C67S	806105101150	3	26.33	23.72	554.93	11	0	a							30	
WAT_700-3102-38X	806105489913	3	101.29	90.65	2129.09	11	0	a							30	
WAT_210-6097B	806105195739	3	15.23	13.81	321.83	11	0	a							30	
WAT_805-0252	806105129697	3	3.96	3.75	85.16	11	0	a							30	
WAT_640-4799-DKG V	806105453457	3	38.34	34.45	807.14	11	0	a							30	
WAT_640-1907 V	806105453358	3	19.79	17.89	417.59	11	0	a							30	
WAT_3421821	806105074904	3	258.76	231.25	5435.96	11	0	a							30	
WAT_120-0160	806105334275	3	5.99	5.56	127.79	11	0	a							30	
WAT_400-9390B	806105256881	3	7.74	7.13	164.54	11	0	a							30	
WAT_519-7361	806105097231	3	5.78	5.38	123.38	11	0	a							30	
WAT_550-1811	806105099808	3	25.52	23	537.92	11	0	a							30	
WAT_520-1601	806105421784	3	244.94	218.91	5145.74	11	0	a							30	
WAT_3312610-14	806105065902	3	134.02	119.88	2816.42	11	0	a							30	
WAT_5700060-07	806105313003	3	749.6	669.5	15743.6	11	0	a							30	
WAT_560-C0C60S	806105100955	3	29.5	26.55	621.5	11	0	a							30	
WAT_640-8210 V	806105432742	3	23.9	21.55	503.9	11	0	a							30	
WAT_519-6480	806105096500	3	10.29	9.4	218.09	11	0	a							30	
WAT_3410310-15	806105066787	3	166.53	148.9	3499.13	11	0	a							30	
WAT_ECONOVSA-165	806105506108	3	756.84	675.96	15895.64	11	0	a							30	
WAT_500-1021	806105087652	3	16.28	14.75	343.88	11	0	a							30	
WAT_400-6650	806105082299	3	3.4	3.25	73.4	11	0	a							30	
WAT_215-1171	806105481313	3	4.09	3.86	87.89	11	0	a							30	
WAT_215-1170	806105456304	3	4.09	3.86	87.89	11	0	a							30	
WAT_218-1890A	806105332400	3	12.14	11.05	256.94	11	0	a							30	
WAT_411-9100	806105083852	3	3.2	3.08	69.2	11	0	a							30	
WAT_660-3407	806105240774	3	7.46	6.88	158.66	11	0	a							30	
WAT_642-3630V	806105366382	3	10.43	9.52	221.03	11	0	a							30	
WAT_660-3400	806105115799	3	7.46	6.88	158.66	11	0	a							30	
WAT_215-1197	806105469946	3	4.09	3.86	87.89	11	0	a							30	
WAT_212-3340	806105030214	3	8.4	7.71	178.4	11	0	a							30	
WAT_215-1191	806105469939	3	4.09	3.86	87.89	11	0	a							30	
WAT_215-1190	806105451408	3	4.09	3.86	87.89	11	0	a							30	
WAT_519-4320	806105195265	3	16.29	14.76	344.09	11	0	a							30	
WAT_502-9910	806105088604	3	103.93	93.01	2184.53	11	0	a							30	
