sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
CUS_27505-200-000	849640021392	3	124.88	111.71	2624.48	11	0	a							30	
CUS_27504-200-000	849640021385	3	142.27	127.24	2989.67	11	0	a							30	
CUS_27503-200-000	849640021378	3	106.47	95.28	2237.87	11	0	a							30	
CUS_27502-154-000	849640021354	3	76.3	68.34	1604.3	11	0	a							30	
CUS_27501-154-000	849640021347	3	76.3	68.34	1604.3	11	0	a							30	
CUS_27500-154-000	849640021323	3	76.3	68.34	1604.3	11	0	a							30	
CUS_27182-352-000	849640021002	3	16	14.5	338	11	0	a							30	
CUS_27182-300-000	849640020999	3	14.39	13.06	304.19	11	0	a							30	
CUS_27182-215-000	849640020982	3	7.7	7.09	163.7	11	0	a							30	
CUS_27182-207-000	849640020975	3	11.38	10.38	240.98	11	0	a							30	
CUS_27182-199-000	849640020968	3	None	None	None	11	0	a							30	
CUS_27182-037-000	849640020920	3	13.84	12.58	292.64	11	0	a							30	
CUS_27182-020-000	849640020913	3	29.86	26.88	629.06	11	0	a							30	
CUS_27182-019-000	849640020904	3	13.41	12.19	283.61	11	0	a							30	
CUS_27182-010-000	849640020890	3	11.45	10.44	242.45	11	0	a							30	
CUS_27182-009-200	849640020883	3	20.58	18.59	434.18	11	0	a							30	
CUS_27182-009-000	849640020876	3	13.41	12.19	283.61	11	0	a							30	
CUS_27180-219-000	849640020838	3	13.06	11.88	276.26	11	0	a							30	
CUS_27180-215-000	849640020821	3	7.66	7.05	162.86	11	0	a							30	
CUS_27180-163-000	849640020753	3	15.85	14.36	334.85	11	0	a							30	
CUS_26200-210-632	849640020517	3	8.61	7.9	182.81	11	0	a							30	
CUS_26101-060-530	849640020463	3	12.98	11.8	274.58	11	0	a							30	
CUS_26100-171-024	849640020302	3	2.59	2.52	56.39	11	0	a							30	
CUS_25923-209-000	849640020203	3	86.36	77.33	1815.56	11	0	a							30	
CUS_25923-204-000	849640020197	3	77.5	69.41	1629.5	11	0	a							30	
CUS_25923-154-000	849640020173	3	None	None	None	11	0	a							30	
CUS_25922-204-000	849640020166	3	None	None	None	11	0	a							30	
CUS_25913-204-850	849640020104	3	35.81	32.19	754.01	11	0	a							30	
