Feed Processing Summary:
	Number of records processed		916
	Number of records successful		462

original-record-number	sku	error-code	error-type	error-message
117	VAL_V40-505-T3	8560	Error	SKU VAL_V40-505-T3, Missing Attributes product_type. SKU VAL_V40-505-T3 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
117	VAL_V40-505-T3	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
117	VAL_V40-505-T3	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
118	VAL_V20-286	8560	Error	SKU VAL_V20-286, Missing Attributes product_type. SKU VAL_V20-286 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
118	VAL_V20-286	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
118	VAL_V20-286	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
119	VAL_V20-287	8560	Error	SKU VAL_V20-287, Missing Attributes product_type. SKU VAL_V20-287 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
119	VAL_V20-287	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
119	VAL_V20-287	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
12	VAL_V20-406	8560	Error	SKU VAL_V20-406, Missing Attributes product_type. SKU VAL_V20-406 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
12	VAL_V20-406	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
12	VAL_V20-406	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
120	VAL_V20-284	8560	Error	SKU VAL_V20-284, Missing Attributes product_type. SKU VAL_V20-284 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
120	VAL_V20-284	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
120	VAL_V20-284	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
121	VAL_V20-285	8560	Error	SKU VAL_V20-285, Missing Attributes product_type. SKU VAL_V20-285 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
121	VAL_V20-285	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
121	VAL_V20-285	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
