type,category,part_number,title,price,upc,weight,length,width,height,location,manufacturer
wholegood,White Goods,500111,"VGBA 8""MNDRN 2""SIDEx1.5"" BOT BLK ABS SUMP 2PK",40.79,7.88E+11,5.48,15.3,13.8,9,R,Pentair
wholegood,White Goods,500113,"VGBA 8""MNDRN 2""SIDEx1.5"" BOT DG SUMP ABS 2PK",40.79,7.88E+11,5.48,15.3,13.8,9,R,Pentair
wholegood,White Goods,500114,"VGBA 8""MNDRN 2""SIDEx1.5"" BOT GRY ABS SUMP 2PK",40.79,7.88E+11,5.48,15.3,13.8,9,R,Pentair
wholegood,White Goods,500115,"VGBA 8""MNDRN 2""SIDE WHT ABS SUMP 2PK",44.61,7.88E+11,5.38,15.3,13.8,9,R,Pentair
wholegood,White Goods,500116,"VGBA 8""MNDRN 2""SIDE BLK ABS SUMP 2PK",44.61,7.88E+11,5.38,15.3,13.8,9,R,Pentair
wholegood,White Goods,500117,"VGBA 8""MNDRN 2""SIDE DG ABS SUMP 2PK",44.61,7.88E+11,5.38,15.3,13.8,9,R,Pentair
wholegood,White Goods,500118,"VGBA 8""MNDRN 2""SIDE GRY ABS SUMP 2PK",44.61,7.88E+11,5.38,15.3,13.8,9,R,Pentair
wholegood,White Goods,500120,"VGBA 8""MNDRN DUAL BOT PORT ABS SUMP WHT 2PK",34.15,7.88E+11,5.2,15.5,14.2,9.63,R,Pentair
wholegood,White Goods,500121,"VGBA 8""MNDRN DUAL BOT PORT ABS SUMP BLK 2PK",34.15,7.88E+11,5.2,15.5,14.2,9.63,R,Pentair
wholegood,White Goods,500122,"VGBA 8""MNDRN DUAL PORT ABS SUMP DG 2PK",34.15,7.88E+11,5.2,15.5,14.2,9.63,R,Pentair
wholegood,White Goods,500123,"VGBA 8""MNDRN DUAL BOT PORT ABS SUMP GRY 2PK",34.15,7.88E+11,5.2,15.5,14.2,9.63,R,Pentair
wholegood,White Goods,500130,"VGBA 8""MNDRN VNYL 2PORT ABS SUMP WHT 2PK",57.7,7.88E+11,6.25,15.3,13.8,9,R,Pentair
wholegood,White Goods,500135,"VGBA 8""MNDRN RNG/CVR VNYL",31.85,7.88E+11,1.65,9.25,9.25,6.5,R,Pentair
wholegood,White Goods,500140,"VGBA 8""MNDRN CVR/LNG RNG WHT 2PK",28.27,7.88E+11,2.21,9,9,6,R,Pentair
wholegood,White Goods,500141,"VGBA 8""MNDRN CVR/LNG RNG BLK 2PK",33.96,7.88E+11,2.21,9,9,6,R,Pentair
wholegood,White Goods,500142,"VGBA 8""MNDRN CVR/LNG RNG DG 2PK",33.96,7.88E+11,2.21,9,9,6,R,Pentair
wholegood,White Goods,500143,"VGBA 8""MNDRN CVR/LNG RNG GRY 2PK",33.96,7.88E+11,2.21,9,9,6,R,Pentair
wholegood,White Goods,500144,"VGBA 8""MNDRN CVR/SHORT RNG WHT 2PK",28.27,7.88E+11,2.09,9,9,6,R,Pentair
wholegood,White Goods,500145,"VGBA 8""MNDRN CVR/SHORT RNG BLK 2PK",33.96,7.88E+11,2.09,9,9,6,R,Pentair
wholegood,White Goods,500146,"VGBA 8""MNDRN CVR/SHORT RNG DG 2PK",33.96,7.88E+11,2.09,9,9,6,R,Pentair
wholegood,White Goods,500147,"VGBA 8""MNDRN CVR/SHORT RNG GRY 2PK",33.96,7.88E+11,2.09,9,9,6,R,Pentair
wholegood,White Goods,500150,"VGBA 8""MNDRN VNYL 2PORT BSP",36.59,7.88E+11,5,15.5,14,10,R,Pentair
wholegood,White Goods,506300,"SKIM 2"" SLIP WHT PVC ",77.22,7.88E+11,13,12,16,22,E,Pentair
wholegood,White Goods,506301,"SKIM 2"" THRD WHT PVC ",77.22,7.88E+11,13,12,16,22,E,Pentair
wholegood,White Goods,506302,"SKIM 2"" SLIP TAN PVC ",77.22,7.88E+11,13,12,16,22,E,Pentair
wholegood,White Goods,506304,"SKIM 1.5"" SLIP WHT PVC ",77.22,7.88E+11,13,12,16,22,E,Pentair
