part_number,title,price,oem,upc,manufacturer
91500150S,"Trap Gasket 5"" ",$2.09,,811636026414,Val-Pak
91500150,"Trap Gasket 5"" (12/Bag)",$1.38,,811636026414,Val-Pak
92290000S,"1/4"" Brass Pipe Plug ",$3.36,,811636025363,Val-Pak
92290000,"1/4"" Brass Pipe Plug (12 Bag)",$2.24,,811636025363,Val-Pak
91500200S,"Trap Gasket 6"" & 8"" ",$4.75,,811636026421,Val-Pak
91500200,"Trap Gasket 6"" & 8"" (12/Bag)",$3.16,,811636026421,Val-Pak
92620000,"Trap 5"" 1-1/2"" Suction",$182.03,,811636025370,Val-Pak
92620050,"Trap 5"" 2"" Suction",$182.03,,811636024991,Val-Pak
92620100,"Trap 6"" 2"" Suction",$228.28,,811636025387,Val-Pak
91110000S,"Strainer Basket 5""",$13.45,,811636025196,Val-Pak
91110000,"Strainer Basket 5"" (16/Box)",$8.53,,811636025196,Val-Pak
91110010,"Strainer Basket 6""",$12.89,,811636025202,Val-Pak
92200000S,"Trap Cover O-Ring 5""",$2.67,,811636026438,Val-Pak
92200000,"Trap Cover O-Ring 5"" (12/Bag)",$1.77,,811636026438,Val-Pak
92200010S,"Trap Cover O-Ring 6"" ",$3.15,,811636026445,Val-Pak
92200010,"Trap Cover O-Ring 6"" (12/Bag)",$2.10,,811636026445,Val-Pak
91230000,"Trap Cover 5""",$39.94,,811636024977,Val-Pak
91230050,"Trap Cover 6""",$46.34,,811636025394,Val-Pak
91920001,"Lock Handle, Bronze/S.S. Stud",$11.42,,811636024984,Val-Pak
91040010,"Trap Assembly Complete 5"" x 1-1/2""",$241.99,,811636025233,Val-Pak
91040020,"Trap Assembly Complete 5"" x 2""",$241.99,,811636025240,Val-Pak
91040030,"Trap Assembly Complete 6"" x 2""",$298.36,,811636025257,Val-Pak
93500200,A Series Seal Kit 1/3-2 HP,$40.33,,811636025219,Val-Pak
93500200-2,A Series Seal Kit 3 HP,$41.32,,811636025226,Val-Pak
,Aqua-Flo AC Series Pump Parts,$0.00,,,Val-Pak
93497000,Motor 3 HP Single Phase,$757.24,,811636025462,Val-Pak
93497010,Motor 3 HP Three Phase,$725.45,,811636025479,Val-Pak
93498000,Motor 5 HP Single Phase,$828.15,,811636025486,Val-Pak
93498010,Motor 5 HP Three Phase,$743.62,,811636025493,Val-Pak
91140000,Bracket 3 & 5 HP,$269.02,,811636025509,Val-Pak
91500000S,AC Volute Gasket,$7.22,,811636026452,Val-Pak
91500000,AC Volute Gasket (12/Bag),$4.81,,811636026452,Val-Pak
92500000,AC Series Pump Seal,$44.81,,811636026469,Val-Pak
91690002,3.0 HP High Head Impeller,$220.22,,811636025516,Val-Pak
91690051,3.0 HP Med. Head Impeller,$220.22,,811636025523,Val-Pak
91690102,5.0 HP High Head Impeller,$238.15,,811636025530,Val-Pak
99890160,"5/16"" x .096 S.S. Flat Washer",$1.55,,811636025547,Val-Pak
99050030,"Hex Bolt 5/16"" x 5/8""",$0.65,,811636025189,Val-Pak
92770000,Volute,$554.34,,811636025554,Val-Pak
91100000,AC Series Pump Base (2 Pieces),$20.45,,811636028135,Val-Pak
92290000S,"1/4"" Pipe Plug ",$3.36,,811636025363,Val-Pak
92290000,"1/4"" Pipe Plug (12/Bag)",$2.24,,811636025363,Val-Pak
91500200S,"Trap Gasket 6"" & 8"" ",$4.75,,811636026421,Val-Pak
91500200,"Trap Gasket 6"" & 8"" (12/Bag)",$3.16,,811636026421,Val-Pak
92620100,"Trap 6"" x 2""",$228.28,,811636025387,Val-Pak
92620150,"Trap 8"" x 3""",$684.76,,811636025561,Val-Pak
91450010,"Inlet Flange 3"" NTP",$71.26,,811636025578,Val-Pak
91450010-1,"2"" x 3"" AC Series Outlet Flange NTP",$63.74,,,Val-Pak
91110010,"Pump Basket 6""",$12.89,,811636025202,Val-Pak
91110050,"Pump Basket 8"" S.S.",$87.22,,811636026476,Val-Pak
92200010S,"Trap Cover O-Ring 6""",$3.00,,811636026445,Val-Pak
91230050,"Trap Cover 6""",$45.23,,811636025394,Val-Pak
91230100,"Trap Cover 8""",$101.07,,811636025585,Val-Pak
91920001,"Lock Handle, Bronze/S.S. Stud",$11.42,,811636024984,Val-Pak
91040030,"Trap Assembly 6"" x 2""",$313.28,,811636025257,Val-Pak
91040050,"Trap Assembly 8"" x 3""",$878.79,,811636025608,Val-Pak
93500200-1,AC Series Seal Kit 3-5 HP,$65.52,,811636025592,Val-Pak
,Dominator Pump Complete High & Medium Head,,,,Val-Pak
159050H-1,Dominator Pump 1/2 HP High Head 115/230 1 PH,$351.48,14005500-1050,811636025615,Val-Pak
159050M-1,Dominator Pump 1/2 HP Medium Head 115/230 1 PH,$351.48,15005000-1050,811636025622,Val-Pak
159070H-1,Dominator Pump 3/4 HP High Head 115/230 1 PH,$375.81,14007500-1050,811636025639,Val-Pak
159070M-1,Dominator Pump 3/4 HP Medium Head 115/230 1 PH,$375.81,15007000-1050,811636025646,Val-Pak
159100H-1,Dominator Pump 1 HP High Head 115/230 1 PH,$400.13,14010500-1050,811636025653,Val-Pak
159100M-1,Dominator Pump 1 HP Medium Head 115/230 1 PH,$400.13,15010000-1050,811636025660,Val-Pak
159150H-1,Dominator Pump 1.5 HP High Head 115/230 1 PH,$424.45,14015500-1040,811636025677,Val-Pak
159150M-1,Dominator Pump 1.5 HP Medium Head 115/230 1 PH,$424.45,15015000-1040,811636025691,Val-Pak
159200H-1,Dominator Pump 2 HP High Head 115/230 1 PH,$460.94,14020500-1040,811636025707,Val-Pak
159200M-1,Dominator Pump 2 HP Medium Head 115/230 1 PH,$460.94,15020000-1040,811636025714,Val-Pak
,Dominator Medium Head Liquid End,,,,Val-Pak
159050,"1/2 HP 2"" Suction ",$203.49,15905000-0050,811636025738,Val-Pak
159070,"3/4 HP 2"" Suction",$203.49,15907000-0050,811636025752,Val-Pak
159100,"1 HP 2"" Suction",$203.49,15910000-0050,811636025776,Val-Pak
159150,"1-1/2 HP 2"" Suction",$203.49,15915000-0040,811636025790,Val-Pak
159200,"2 HP 2"" Suction",$203.49,15920000-0040,811636025813,Val-Pak
,Dominator High Head Liquid End,$0.00,,,Val-Pak
159050H,"1/2 HP 2"" Suction ",$203.49,,811636025721,Val-Pak
159070H,"3/4 HP 2"" Suction",$203.49,,811636025745,Val-Pak
159100H,"1 HP 2"" Suction",$203.49,,811636025769,Val-Pak
159150H,"1-1/2 HP 2"" Suction",$203.49,,811636025783,Val-Pak
159200H,"2 HP 2"" Suction",$203.49,,811636025806,Val-Pak
,Dominator Pump Parts,$0.00,,,Val-Pak
V40-409S,Dominator Pump Basket ,$12.81,,811636023154,Val-Pak
V40-409,Dominator Pump Basket 12/Box,$8.54,91110040,811636023154,Val-Pak
V40-410,Dominator Medium Head Diffuser,$18.03,91270020,811636023161,Val-Pak
V40-411,Dominator Medium Head Impeller 3/4 HP,$36.78,91692455,811636023178,Val-Pak
V40-412,Dominator Medium Head Impeller 1 HP,$36.78,91692505,811636023185,Val-Pak
V40-413,Dominator Medium Head Impeller 1-1/2 HP,$36.78,91692555,811636023192,Val-Pak
V40-414,Dominator Medium Head Impeller 2 HP,$36.78,91692605,811636023208,Val-Pak
V40-415,Dominator High Head Diffuser,$18.40,91270002,811636023215,Val-Pak
V40-416,Dominator High Head Impeller 3/4 HP,$36.78,91692450,811636023222,Val-Pak
V40-417,Dominator High Head Impeller 1 HP,$36.78,91692500,811636023239,Val-Pak
V40-418,Dominator High Head Impeller 1-1/2 HP,$36.78,91692550,811636023246,Val-Pak
V40-419,Dominator High Head Impeller 2 HP,$36.78,91692600,811636023253,Val-Pak
V40-420S,Dominator Med. Head Diffuser O-Ring ,$1.39,,811636027152,Val-Pak
V40-420,Dominator Med. Head Diffuser O-Ring (12/Bag),$0.92,92200250,811636027152,Val-Pak
V40-421S,Dominator High Head Diffuser O-Ring ,$1.39,,811636027169,Val-Pak
V40-421,Dominator High Head Diffuser O-Ring (12/Bag),$0.92,92200140,811636027169,Val-Pak
V40-425S,Dominator Medium Head Diffuser Screw ,$0.27,99730550,811636023260,Val-Pak
V40-425,Dominator Medium Head Diffuser Screw 25/Bag,$0.17,99730550,811636023260,Val-Pak
V40-426S,Dominator High Head Diffuser Screw ,$0.27,,811636025851,Val-Pak
V40-426,Dominator High Head Diffuser Screw 25/Bag,$0.17,99730060,811636025851,Val-Pak
V40-427S,Dominator Medium Head Impeller Screw ,$3.68,,811636025844,Val-Pak
V40-427,Dominator Medium Head Impeller Screw 10/Bag,$2.46,99730160,811636025844,Val-Pak
V40-428S,Dominator High Head Impeller Screw ,$3.68,,811636023277,Val-Pak
V40-428,Dominator High Head Impeller Screw 10/Bag,$2.46,99730150,811636023277,Val-Pak
V26-361,Dominator Pump Lid N/S 2010 to Present,$14.64,,811636021303,Val-Pak
V26-360S,Dominator Pump Lid O-Ring N/S 2010 to Present,$1.88,,811636021297,Val-Pak
V26-360,Dominator Pump Lid O-Ring N/S 2010 to Present (12/Bag),$1.25,,811636021297,Val-Pak
V40-430,Dominator Pump Lid (Prior to 2009),$19.65,91230300,811636023284,Val-Pak
V40-431S,Dominator Pump Lid  Oring (Prior to 2009),$2.13,92200190,811636023291,Val-Pak
V40-431,Dominator Pump Lid  Oring 12/Bag (Prior to 2009),$1.41,92200190,811636023291,Val-Pak
V40-432,"Compression Fitting 2""",$6.32,52202000,811636025868,Val-Pak
V40-900,Dominator Casing  (Volute),$59.56,91200003,811636023932,Val-Pak
V40-901,Dominator Seal Plate (PS-200),$59.56,92280003,811636023949,Val-Pak
V40-902,Dominator Bracket ,$39.24,91140351,811636023956,Val-Pak
V40-903,"Dominator Trap 2"" Inlet",$59.32,92620552,811636023963,Val-Pak
V40-904,Dominator Pump Base,$23.53,91100150,811636025882,Val-Pak
V40-905,Dominator Lock Ring (1995 to 2010),$16.83,91920050,811636023970,Val-Pak
V40-906,Dominator Volute Clamp w/Knob,$36.23,99100020,811636023987,Val-Pak
V40-907S,"Dominator 1/4"" Drain Plug w/O-Ring",$1.88,,811636025875,Val-Pak
V40-907,"Dominator 1/4"" Drain Plug w/O-Ring (10/Bag)",$1.25,92290020,811636025875,Val-Pak
V40-908,Dominator Bolt Kit,$8.60,,811636025820,Val-Pak
V40-910,Dominator Short Shaft,$6.45,,811636023994,Val-Pak
V26-354S,Dominator Seal Plate O-Ring,$2.97,,811636021242,Val-Pak
V26-354,Dominator Seal Plate O-Ring (12/Bag),$1.97,92200180,811636021242,Val-Pak
V26-359S,Dominator Trap Gasket Rubber ,$1.91,,811636021280,Val-Pak
V26-359,Dominator Trap Gasket Rubber (12/Bag),$1.30,92200100,811636021280,Val-Pak
V40-401S,"Set Screw 1/4""-20 x 5/16"" ",$0.79,,811636023147,Val-Pak
V40-401,"Set Screw 1/4""-20 x 5/16"" (100/Bag)",$0.52,99730000,811636023147,Val-Pak
V40-200S,Pump Seal 1995 to Present,$6.30,92500150,,Val-Pak
V40-200,Pump Seal 1995 to Present (50/Bag),$4.29,92500150,,Val-Pak
V40-300S,Pump Seal Prior 1994,$8.25,92520010,811636023123,Val-Pak
V40-300,Pump Seal Prior 1995 (50/Bag),$5.50,92520010,811636023123,Val-Pak
V40-116-1,Dominator Pump Shaft,$19.66,92520040,811636025837,Val-Pak
,Jandy Replacement Parts,$0.00,,,Val-Pak
V55-099,Jandy Backwash O-Ring Kit W/2 Puck/1 Cap/1 Stem O-ring,$1.58,,811636028128,Val-Pak
V55-100S,Tank Lid O-Ring CL/Del Series,$19.31,R0357800,811636024236,Val-Pak
V55-100,Tank Lid O-Ring CL/Del Series (12/Bag),$14.68,R0357800,811636024236,Val-Pak
V55-105S,Jandy 3 Way Valve O-Ring Kit,$1.96,,811636020948,Val-Pak
V55-105,Jandy 3 Way Valve O-Ring Kit (25/Bag),$1.57,,811636020948,Val-Pak
V55-110,Jandy Gauge/ Air Release,$22.90,R0357200,811636024250,Val-Pak
V55-120,Jandy Backwash Valve O-Ring Kit,$1.88,,811636028159,Val-Pak
V55-200,Jandy Cartridge Manifold,$27.60,R0357600,811636020955,Val-Pak
V55-201,Jandy DE Manifold ,$20.25,R0359000,811636020955,Val-Pak
V55-205,Drain Plug (small) W/Oring CL & DEL Series,$8.95,,811636027640,Val-Pak
V55-206,Drain Plug (Large) w/Oring CV & DEV Series,$10.95,,811636027657,Val-Pak
V55-207,"Slip Connector w/Oring & Nut 2"" Inside 2-1/2"" Outside Dia. CL,CV,DEL & DEV. ( 1 Set)",$8.95,,811636027664,Val-Pak
V55-208,"Union Nut only CL, CV, DEL, & DEV.",$7.95,,811636027671,Val-Pak
,Jandy Pump Parts,,,,Val-Pak
V55-209,"Tail Piece w/Oring 2"" Inside 2-1/2"" Outside Dia. Qty.1 Jandy Stealth",$8.95,,811636027688,Val-Pak
V55-210,Union Nut Qty.1 Jandy Stealth ,$7.95,,811636027695,Val-Pak
V55-211,"Tail Piece w/Oring 2"" Inside 2-1/2"" Outside Dia. Qty.1 Jandy Max",$8.95,,811636027701,Val-Pak
V55-212,Union Nut Qty. 1 Jandy Max,$7.95,,811636027718,Val-Pak
,Martin 500 Series 3 - 10 HP. Pump & Motor,$0.00,,,Val-Pak
V40-535,3 HP Pump & Motor 60 Cycle 1 Phase,"$2,146.54",,811636023697,Val-Pak
V40-536,3 HP Pump & Motor 60 Cycle 3 Phase,"$1,975.98",,811636024779,Val-Pak
V40-537,5 HP Pump & Motor 60 Cycle 1 Phase,"$2,196.84",,811636023703,Val-Pak
V40-538,5 HP Pump & Motor 60 Cycle 3 Phase,"$2,037.39",,811636023710,Val-Pak
V40-539,7-1/2 HP Pump & Motor 60 Cycle 3 Phase,"$2,263.92",,811636023727,Val-Pak
V40-540,10 HP Pump & Motor 60 Cycle 3 Phase,"$2,842.49",,811636023734,Val-Pak
,Martin 500 Series 3 - 10 HP Liquid End,,,,Val-Pak
V40-536-W,3 HP Liquid End,"$1,242.40",,811636026490,Val-Pak
V40-538-W,5 HP Liquid End,"$1,291.26",,811636026506,Val-Pak
V40-539-W,7-1/2 HP Liquid End,"$1,710.05",,811636026513,Val-Pak
V40-540-W,10 HP Liquid End,"$1,982.26",,811636026520,Val-Pak
,Martin 500 Series 3 - 10 HP Pump Parts,$0.00,,,Val-Pak
V40-545,3 HP Motor 60 Cycle 1 Phase,$843.84,,811636025981,Val-Pak
V40-546,3 HP Motor 60 Cycle 3 Phase,$673.27,,811636025998,Val-Pak
V40-547,5 HP Motor 60 Cycle 1 Phase,"$1,151.50",,811636023741,Val-Pak
V40-548,5 HP Motor 60 Cycle 3 Phase,$748.66,,811636023758,Val-Pak
V40-549,7-1/2 HP Motor 60 Cycle 3 Phase,$841.52,,811636023765,Val-Pak
V40-550,10 HP Motor 60 Cycle 3 Phase,"$1,100.33",,811636026001,Val-Pak
V40-555,Bolt Kit 3/8 -16x3/4 S.S. Qty. 20,$24.47,,811636023772,Val-Pak
V40-555-1,3/8-16 X 5/8 S.S. Bolt,$1.19,,811636026094,Val-Pak
V40-556,Angle Iron Base 3 - 7-1/2 HP,$50.36,,811636026032,Val-Pak
V40-557,Angle Iron Base 10 HP,$58.59,,811636026049,Val-Pak
V40-558,Motor Adapter Ring (Spacer) 10 HP ,$195.86,,811636026070,Val-Pak
V40-559,Shaft Extension w/nut Martin 500,$131.67,,811636023789,Val-Pak
V40-561,Brass Adapter,$222.20,,811636023802,Val-Pak
V40-562,3 HP Impeller Martin 500,$194.64,,811636026056,Val-Pak
V40-563,5 HP Impeller Martin 500,$227.62,,811636023840,Val-Pak
V40-564,7-1/2 HP Impeller Martin 500,$252.90,,811636023857,Val-Pak
V40-565,10 HP Impeller Martin 500,$354.07,,811636026063,Val-Pak
V40-570,Brass Volute,$603.70,,811636023888,Val-Pak
V40-571,"Brass Flange 3"" NPT",$75.46,,811636026087,Val-Pak
V40-572,"8"" Brass Trap 3"" Inlet",$717.37,,811636026025,Val-Pak
V40-573,"8"" Brass Cover",$106.50,,811636023895,Val-Pak
V40-574,"8"" S.S.  Strainer Basket",$89.86,,811636023901,Val-Pak
V40-575,Tee Handle Brass W/S.S. Stud,$11.70,,811636026018,Val-Pak
V40-576,"Parts Kit Martin 500 (Pump Seal, Gaskets & O-ring)",$64.56,,811636023918,Val-Pak
,Premier 556 Pump Parts,$0.00,,,Val-Pak
V31-457,3 HP Impeller,$77.01,31-330,,Val-Pak
V40-561P,Brass Adapter,$231.92,35-109,811636023819,Val-Pak
V31-456,"Brass Volute, 556 Series",$206.14,35-843,,Val-Pak
V31-460,Parts Kit 556,$41.88,,,Val-Pak
,Premier 658 Pump Parts 3-10 HP,,,,Val-Pak
V40-577,"Parts Kit 658 (Pump Seal, Gaskets & 0-Ring)",$67.19,,811636023925,Val-Pak
V40-560,"Shaft Extension w/nut Premier 658 5, 7-1/2 & 10 HP",$141.36,39-862,811636023796,Val-Pak
V40-580P,Shaft Extension w/nut Premier 658 3 HP,$141.36,39-861,,Val-Pak
V40-573,"8"" Brass Cover",$106.50,39-490,811636023895,Val-Pak
V40-561P,Brass Adapter 658,$231.92,35-109,811636023819,Val-Pak
V40-574,"8"" S.S.  Strainer Basket",$89.86,39-225,811636023901,Val-Pak
V40-566,3 HP Impeller 658,$218.55,39-879,811636023864,Val-Pak
V40-567,5 HP Impeller 658,$247.69,39-880,811636023871,Val-Pak
V40-568,7-1/2 HP Impeller 658,$276.83,39-881,,Val-Pak
V40-569,10 HP Impeller 658,$338.02,,,Val-Pak
,Martin 100 SERIES Pump & Motor 1/3-3 HP 115/230 60Hz 1 PH DP,$0.00,,,Val-Pak
V40-504,"1/3 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",$646.58,,811636023512,Val-Pak
V40-505,"1/2 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",$646.58,,811636025899,Val-Pak
V40-506,"3/4 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",$658.55,,811636025905,Val-Pak
V40-507,"1.0 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",$668.81,,811636023543,Val-Pak
V40-508,"1.5 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction ",$721.83,,811636023574,Val-Pak
V40-509,"2 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",$783.41,,811636023598,Val-Pak
V40-510,"3 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",$856.43,,811636025912,Val-Pak
V40-510-8,"3 HP Pump & Motor 60 Hz 8"" Trap 3"" Suction","$1,153.51",,811636026599,Val-Pak
,Martin 100 SERIES Pump & Motor 3/4-3 HP 230 50Hz 1 PH DP,,,,Val-Pak
V40-506-5,"3/4 HP Pump & Motor 50 Hz 5"" Trap 2"" Suction",$658.55,,811636026605,Val-Pak
V40-507-5,"1.0 HP Pump & Motor 50 Hz 5"" Trap 2"" Suction",$668.81,,811636026612,Val-Pak
V40-508-5,"1.5 HP Pump & Motor 50 Hz 5"" Trap 2"" Suction ",$721.83,,811636026629,Val-Pak
V40-509-5,"2 HP Pump & Motor 50 Hz 5"" Trap 2"" Suction",$783.41,,811636026636,Val-Pak
V40-510-5,"3 HP Pump & Motor 50 Hz 5"" Trap 2"" Suction",$855.26,,811636026643,Val-Pak
,Martin 100 Series Pump/ Motor 1/2-3 HP 230/460 60/50 Hz 3 PH DP,,,,Val-Pak
V40-505-3,"1/2 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$685.37,,811636026650,Val-Pak
V40-506-3,"3/4 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$698.06,,811636023529,Val-Pak
V40-507-3,"1 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$708.94,,811636023550,Val-Pak
V40-508-3,"1.5 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction ",$765.14,,811636026667,Val-Pak
V40-509-3,"2 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$830.41,,811636026674,Val-Pak
V40-510-3,"3 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$873.59,,811636026681,Val-Pak
V40-510-83,"3 HP Pump & Motor 60/50 Hz 8"" Trap 3"" Suction","$1,165.63",,811636026698,Val-Pak
,Martin 100 Series Pump/Motor 1/2-3 HP 115/230 1 PH 60/50 Hz TEFC,,,,Val-Pak
V40-505-T,"1/2 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$685.37,,811636026704,Val-Pak
V40-506-T,"3/4 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$698.06,,811636023536,Val-Pak
V40-507-T,"1 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$708.94,,811636023567,Val-Pak
V40-508-T,"1.5 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction ",$765.14,,811636023581,Val-Pak
V40-509-T,"2 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$830.41,,811636026711,Val-Pak
V40-510-T,"3 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$873.59,,811636026728,Val-Pak
,Martin 100 Series Pump/Motor 1/2-3 HP 230/460 3 PH 60/50 Hz TEFC,,,,Val-Pak
V40-505-T3,"1/2 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$685.37,,811636026735,Val-Pak
V40-506-T3,"3/4 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$698.06,,811636026742,Val-Pak
V40-507-T3,"1 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$708.94,,811636026759,Val-Pak
V40-508-T3,"1.5 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction ",$765.14,,811636026766,Val-Pak
V40-509-T3,"2 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$830.41,,811636023604,Val-Pak
V40-510-T3,"3 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",$873.59,,811636023611,Val-Pak
V40-510-8-50,"3 HP Pump & Motor 60/50 Hz 8"" Trap 3"" Suction","$1,223.91",,811636026773,Val-Pak
,Martin 100 Liquid End 1/3 - 3 HP.,,,,Val-Pak
V40-516,"1/3 HP Pump w/out Motor 5"" Trap",$453.00,,811636025929,Val-Pak
V40-517,"1/2 HP Pump w/out Motor 5"" Trap",$453.00,,811636025936,Val-Pak
V40-518,"3/4 HP Pump w/out Motor 5"" Trap",$453.00,,811636023628,Val-Pak
V40-519,"1 HP Pump w/out Motor 5"" Trap",$453.00,,811636023635,Val-Pak
V40-520,"1-1/2 HP Pump w/out Motor 5"" Trap",$453.00,,811636023659,Val-Pak
V40-521,"2 HP Pump w/out Motor 5"" Trap",$453.00,,811636023666,Val-Pak
V40-522,"3 HP Pump w/out Motor 5"" Trap",$453.00,,811636023680,Val-Pak
,Martin 100 & Aqua-Flo A Series Motors 115-230 1 PH DP,,,,Val-Pak
V40-475,1/2 HP Motor 60 Cycle,$166.92,,811636023413,Val-Pak
V40-476,3/4 HP Motor 60 Cycle,$178.82,,811636026810,Val-Pak
V40-477,1 HP Motor 60 Cycle,$190.90,,811636023420,Val-Pak
V40-478,1-1/2 HP Motor 60 Cycle,$244.22,,811636023444,Val-Pak
V40-479,2 HP Motor 60 Cycle,$326.42,,811636026827,Val-Pak
V40-480,3 HP Motor 60 Cycle,$399.41,,811636026834,Val-Pak
,Martin 100 & Aqua-Flo A Series Motors 115-230 1 PH TEFC,,,,Val-Pak
V40-475-T,1/2 HP Motor 115-230 1 PH TEFC,$200.31,,811636026841,Val-Pak
V40-476-T,3/4 HP Motor 115-230 1 PH TEFC,$216.63,,811636026858,Val-Pak
V40-477-T,1 HP Motor 115-230 1 PH TEFC,$228.99,,811636026889,Val-Pak
V40-478-T,1.5 HP Motor 115-230 1 PH TEFC,$292.96,,811636026896,Val-Pak
V40-479-T,2 HP Motor 115-230 1 PH TEFC,$367.25,,811636026902,Val-Pak
V40-480-T,3 HP Motor 115-230 1 PH TEFC,$455.66,,811636026919,Val-Pak
,Martin 100 & Aqua-Flo A Series Motor 208-230-460 3 PH DP,,,,Val-Pak
V40-475-3,1/2 HP Motor 208-230-460 3 PH DP,$191.96,,811636026926,Val-Pak
V40-476-3,3/4 HP Motor 208-230-460 3 PH DP,$205.64,,811636026933,Val-Pak
V40-477-3,1 HP Motor 208-230-460 3 PH DP,$217.38,,811636023437,Val-Pak
V40-478-3,1.5 HP Motor 208-230-460 3 PH DP,$278.12,,811636023451,Val-Pak
V40-479-3,2 HP Motor 208-230-460 3 PH DP,$348.63,,811636023468,Val-Pak
V40-480-3,3 HP Motor 208-230-460 3 PH DP,$432.55,,811636026940,Val-Pak
,Martin 100 & Aqua-Flo A Series Motor 208-230-460 3 PH TEFC,,,,Val-Pak
V40-475-T3,1/2 HP Motor 208-230-460 3 PH TEFC,$200.31,,811636026957,Val-Pak
V40-476-T3,3/4 HP Motor 208-230-460 3 PH TEFC,$214.59,,811636026964,Val-Pak
V40-477-T3,1 HP Motor 208-230-460 3 PH TEFC,$226.83,,811636026971,Val-Pak
V40-478-T3,1.5 HP Motor 208-230-460 3 PH TEFC,$290.20,,811636026988,Val-Pak
V40-479-T3,2 HP Motor 208-230-460 3 PH TEFC,$363.79,,811636023475,Val-Pak
V40-480-T3,3 HP Motor 208-230-460 3 PH TEFC,$451.36,,811636023482,Val-Pak
,Martin 100 & PREMIER 455 Pump Parts,,,,Val-Pak
V40-452,1/3 HP Impeller,$50.74,,811636025967,Val-Pak
V40-453,1/2 HP Impeller,$45.68,31-380,811636023307,Val-Pak
V40-454,3/4 HP Impeller,$45.68,31-381,811636023314,Val-Pak
V40-455,1 HP Impeller,$45.68,31-382,811636023321,Val-Pak
V40-456,1-1/2 HP Impeller,$45.68,31-383,811636023338,Val-Pak
V40-457,2 HP Impeller,$45.68,31-384,811636023345,Val-Pak
V40-458,3 HP Impeller,$50.74,,811636023352,Val-Pak
V40-461,"6"" Brass Pump Lid",$46.34,,811636026780,Val-Pak
V40-462,"6"" Brass Trap 2"" NPT",$238.30,,811636026797,Val-Pak
V40-463,"5"" Brass Pump Lid ",$39.94,31-482,811636023376,Val-Pak
V40-464,"5"" Brass Trap 2"" NPT",$186.47,,811636025943,Val-Pak
91110000,"5"" Pump Basket",$8.53,,811636025196,Val-Pak
V40-466,"6"" Pump Basket",$12.89,,811636026803,Val-Pak
V40-468,"Lock Handle, Bronze/S.S. Stud",$11.70,31-622,811636023390,Val-Pak
V40-467,Pump Base (ABS Plastic),$24.79,,811636025950,Val-Pak
V40-485,Pump Base (Aluminum),$47.96,,811636023505,Val-Pak
V40-481,"Parts Kit (Seal, Gaskets & 0-rings)",$42.50,,811636023499,Val-Pak
V40-482,Bolt & Drain Plug Kit,$20.87,,811636025974,Val-Pak
V40-117S,"5"" Brass Lid - O-Ring ",$2.60,,811636023109,Val-Pak
V40-117,"5"" Brass Lid - O-Ring (12/Bag)",$1.73,,811636023109,Val-Pak
V40-115S,H&F Gasket ,$2.97,,811636023086,Val-Pak
V40-115,H&F Gasket (12/Bag),$1.85,,811636023086,Val-Pak
V31-459S,Trap Gasket ,$4.75,,811636026865,Val-Pak
V31-459,Trap Gasket 12/Bag,$3.16,,811636026865,Val-Pak
V40-460,Bracket 1/3-2.0 HP,$117.19,31-096,811636023369,Val-Pak
V31-458,Brass Volute,$127.29,33-819,811636021624,Val-Pak
V30-449S,Brass Pump Shaft w/oring Groove ,$27.02,,811636021587,Val-Pak
V30-449,Brass Pump Shaft w/oring Groove (5/Bag),$21.62,31-814,811636021587,Val-Pak
V40-401S,1/4 x 20 Set Screw S.S. ,$0.79,,811636023147,Val-Pak
V40-401,1/4 x 20 Set Screw S.S. (100/Bag),$0.52,31-812,811636023147,Val-Pak
V31-451,6' Clear Lid,$29.98,33-488,811636021600,Val-Pak
V31-452,"5"" Clear Lid",$27.91,31-484,811636021617,Val-Pak
