part_number,title,price,oem,upc,manufacturer
V20-377,Blank Return Fitting - White,$1.82,,811636020733,Val-Pak
V20-378,Blank Return Fitting - Black,$1.82,,811636020740,Val-Pak
V20-379,Blank Return Fitting - Dark Gray,$1.82,,811636020757,Val-Pak
V20-380,Blank Return Fitting - Light Gray,$1.82,,811636020764,Val-Pak
V20-402,90 Degree Return Fitting - White,$2.43,,811636020795,Val-Pak
V20-403,90 Degree Return Fitting - Black,$2.43,,811636024748,Val-Pak
V20-404,90 Degree Return Fitting - Dark Gray,$2.43,,811636024755,Val-Pak
V20-405,90 Degree Return Fitting - Light Gray,$2.43,,811636024762,Val-Pak
V50-007,Wall Fitting Wrench,$36.86,,811636024052,Val-Pak
,Pentair/American Products Filter Parts,,,,Val-Pak
V20-225,FNS Plus/4000 Air Relief/Gauge,$22.90,,811636020092,Val-Pak
V38-149,Eclipse Filter Lid,$22.95,,811636020931,Val-Pak
V38-146S,FNS Plus Tank Clamp Nut ,$8.85,,811636022843,Val-Pak
V38-146,FNS Plus Tank Clamp Nut (10/Bag),$6.07,,811636022843,Val-Pak
V20-824,FNS Plus 24 sq. ft Filter Element,$140.60,59023800,811636024786,Val-Pak
V20-836,FNS Plus 36 sq. ft. Filter Element,$124.37,59023500,811636020900,Val-Pak
V20-848,FNS Plus 48 sq. ft. Filter Element,$141.47,59023400,811636020917,Val-Pak
V20-860,FNS Plus 60 sq. ft. Filter Element,$151.83,59023300,811636021013,Val-Pak
V20-872,FNS Plus 72 sq. ft. Filter Element,$297.41,195060,811636021020,Val-Pak
V38-190,24' American Products OEM Filter Grid - Full (25/Box),$9.71,59001100,811636024793,Val-Pak
V38-191,36' American Products OEM Filter Grid - Full (25/Box),$12.45,59001800,811636024809,Val-Pak
V38-192,48' American Products OEM Filter Grid - Full (25/Box),$15.25,59002400,811636024816,Val-Pak
V38-193,60' American Products OEM Filter Grid - Full (25/Box),$18.73,59003000,811636023017,Val-Pak
V38-194,72' American Products OEM Filter Grid - Full (25/Box),$21.38,,811636024823,Val-Pak
V38-195,24' American Products OEM Filter Grid - Partial (8/Box),$10.96,59001000,811636024830,Val-Pak
V38-196,36' American Products OEM Filter Grid - Partial (8/Box),$13.16,59001700,811636024847,Val-Pak
V38-197,48' American Products OEM Filter Grid - Partial (8/Box),$16.21,59002300,811636023024,Val-Pak
V38-198,60' American Products OEM Filter Grid - Partial (8/Box),$17.83,59002900,811636023031,Val-Pak
V38-199,72' American Products OEM Filter Grid - Partial (8/Box),$22.15,,811636024854,Val-Pak
V38-150,Commander Filter Lid,$47.64,57005600,811636022850,Val-Pak
V38-152,Commander Filter Knob,$14.43,57006900,811636022874,Val-Pak
V38-153S,Knob O-Ring ,$2.30,57006700,811636022881,Val-Pak
V38-153,Knob O-Ring (12/Bag),$1.54,57006700,811636022881,Val-Pak
V38-151S,Commander Filter Lid O-Ring,$3.70,57007300,811636022867,Val-Pak
V38-151,Commander Filter Lid O-Ring (12/Bag),$1.82,57007300,811636022867,Val-Pak
V38-140S,FNS Plus/American Top Manifold W/Air Relief Screen ,$37.11,59023700/59000399,811636020016,Val-Pak
V38-140,FNS Plus/American Top Manifold W/Air Relief Screen (12/Box),$29.69,59023700/59000400,811636022553,Val-Pak
V38-142S,FNS Plus/American  Bottom Spreader ,$26.27,59000500,811636022805,Val-Pak
V38-142,FNS Plus/American  Bottom Spreader (6/Box),$21.01,59000500,811636022805,Val-Pak
V38-141S,Universal Filter Templet ,$8.45,98725800,811636022799,Val-Pak
V38-141,Universal Filter Templet (15/Box),$5.63,98725800,811636022799,Val-Pak
