manufacturer,part_number,title,category,type,uom,minimum_order_amount,status,upc,weight,height,length,width,available,discontinued
Zodiac,1304CBF,"Jandy Pro Series 4' Sheer Descent, Clear 12""  Lip, Bottomfeed ",WATER FEATURES,wholegood,1,1,Active,738919070905,25.4,5.6,51.3,16,TRUE,FALSE
Zodiac,1104C,"Jandy Pro Series 4' Sheer Descent, Clear 1"" Standard Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070875,10.4,4.3,58.5,7,TRUE,FALSE
Zodiac,1404CSC,Jandy Pro Series 4' Sheer Curtain-Super Radius Clear ,WATER FEATURES,wholegood,1,1,Active,52337057974,25.7,4.2,51.1,18,TRUE,FALSE
Zodiac,FFWS36L-6,"Jandy Pro Series 36"" Fiberfalls, 6"" Lip ",WATER FEATURES,wholegood,1,1,Active,738919011281,15.7,5.5,52.5,10,TRUE,FALSE
Zodiac,FFWS36L,"Jandy Pro Series 36"" Fiberfalls, 1"" Lip ",WATER FEATURES,wholegood,1,1,Active,738919005143,13.5,5.4,53.8,8,TRUE,FALSE
Zodiac,1203CSR,"Jandy Pro Series 3' Sheer Rain, Clear 6"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056410,5.24,0,0,0,TRUE,FALSE
Zodiac,1303CBF,"Jandy Pro Series 3' Sheer Descent-Super Radius Clear, Bottom feed ",WATER FEATURES,wholegood,1,1,Active,52337056977,19.5,5.4,38.5,16,TRUE,FALSE
Zodiac,1603CBF,"Jandy Pro Series 3' Sheer Descent, Clear 6"" Lip, Bottomfeed ",WATER FEATURES,wholegood,1,1,Active,738919070783,12.3,5.4,39.2,10,TRUE,FALSE
Zodiac,1203C,"Jandy Pro Series 3' Sheer Descent, Clear 6"" Extended Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070813,12.7,4.5,39.5,13,TRUE,FALSE
Zodiac,1403C,"Jandy Pro Series 3' Sheer Descent, Clear 12"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070899,18.25,4,38,17,TRUE,FALSE
Zodiac,1103C,"Jandy Pro Series 3' Sheer Descent, Clear 1"" Standard Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056359,8,4.3,39,7,TRUE,FALSE
Zodiac,1003CBF,"Jandy Pro Series 3' Sheer Descent, Clear 1"" Lip, Bottomfeed ",WATER FEATURES,wholegood,1,1,Active,52337056823,7.6,5.7,39.1,8,TRUE,FALSE
Zodiac,1203CSC,Jandy Pro Series 3' Sheer Curtain-Extended Lip Clear ,WATER FEATURES,wholegood,1,1,Active,52337056878,13.3,4.3,38.2,13,TRUE,FALSE
Zodiac,1203CRA,"Jandy Pro Series 3' Rain Arc, Clear 6"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919071575,12.9,4.3,39.5,13,TRUE,FALSE
Zodiac,FFWS24L-6,"Jandy Pro Series 24"" Fiberfalls, 6"" Lip ",WATER FEATURES,wholegood,1,1,Active,738919011274,11,5.5,34,11,TRUE,FALSE
Zodiac,FFWS24L,"Jandy Pro Series 24"" Fiberfalls, 1"" Lip ",WATER FEATURES,wholegood,1,1,Active,738919005099,6.4,0,0,0,TRUE,FALSE
Zodiac,1202CSR,"Jandy Pro Series 2' Sheer Rain, Clear 6"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056403,5.24,0,0,0,TRUE,FALSE
Zodiac,1302CBF,"Jandy Pro Series 2' Sheer Descent-Super Radius Clear, Bottom feed ",WATER FEATURES,wholegood,1,1,Active,52337056960,13,6,52,17,TRUE,FALSE
Zodiac,1602CBF,"Jandy Pro Series 2' Sheer Descent-Extended Lip Clear, Bottom Feed ",WATER FEATURES,wholegood,1,1,Active,52337056915,8.7,5.6,27.3,11,TRUE,FALSE
Zodiac,1202C,"Jandy Pro Series 2' Sheer Descent, Clear 6"" Extended Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070776,9.2,4.5,28.1,12,TRUE,FALSE
Zodiac,1402C,"Jandy Pro Series 2' Sheer Descent, Clear 12"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056281,13,4.4,28.1,18,TRUE,FALSE
Zodiac,1102C,"Jandy Pro Series 2' Sheer Descent, Clear 1"" Standard Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337055956,3.84,0,0,0,TRUE,FALSE
Zodiac,1002CBF,"Jandy Pro Series 2' Sheer Descent, Clear 1"" Lip, Bottomfeed ",WATER FEATURES,wholegood,1,1,Active,738919070820,6.84,0,0,0,TRUE,FALSE
Zodiac,1202CSC,Jandy Pro Series 2' Sheer Curtain-Extended Lip Clear ,WATER FEATURES,wholegood,1,1,Active,52337056861,6.84,4,25,11,TRUE,FALSE
Zodiac,1202CSA,"Jandy Pro Series 2' Sheer Arc, Clear 6"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070806,6.62,4,26,11,TRUE,FALSE
Zodiac,1418CSR,"Jandy Pro Series 18"" Sheer Rain-Super Radius Clear ",WATER FEATURES,wholegood,1,1,Active,52337057585,10.2,4,18.2,21,TRUE,FALSE
Zodiac,1218CSR,"Jandy Pro Series 18"" Sheer Rain, Clear 6"" Lip Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056397,7.2,4.5,20.1,12,TRUE,FALSE
Zodiac,1618CBF,"Jandy Pro Series 18"" Sheer Descent-Extended Lip Clear, Bottom Feed ",WATER FEATURES,wholegood,1,1,Active,52337056908,6.6,5.6,10.3,20,TRUE,FALSE
Zodiac,1218C,"Jandy Pro Series 18"" Sheer Descent, Clear 6"" Extended Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337060615,6.7,4.5,19.8,12,TRUE,FALSE
Zodiac,1318CBF,"Jandy Pro Series 18"" Sheer Descent, Clear 12"" Lip, Bottomfeed ",WATER FEATURES,wholegood,1,1,Active,738919071551,7.56,4,19,17,TRUE,FALSE
Zodiac,1418C,"Jandy Pro Series 18"" Sheer Descent, Clear 12"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056274,10.8,4.8,20.9,18,TRUE,FALSE
Zodiac,1118C,"Jandy Pro Series 18"" Sheer Descent, Clear 1"" Standard Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337055949,3.8,3.5,23.5,6,TRUE,FALSE
Zodiac,1018CBF,"Jandy Pro Series 18"" Sheer Descent, Clear 1"" Lip, Bottomfeed ",WATER FEATURES,wholegood,1,1,Active,52337056946,10,0,0,0,TRUE,FALSE
Zodiac,1218CSC,"Jandy Pro Series 18"" Sheer Curtain-Extended Lip Clear ",WATER FEATURES,wholegood,1,1,Active,52337056854,6.8,4.4,21.2,13,TRUE,FALSE
