part_number,title,oem,catalog_reference_number,list_price,net_price,case_quantity,manufacturer
21063-284-000,"2"" MIP x 2""Socket/2.5""Spigot Swivel Union S-S (Hi-Temp); Black",,,$23.52 ,$8.47 ,27,Custom Molded Products
21063-290-000,2in MIP x 2in 90 deg Union S-S (High-Temp),200-996,134,$21.91 ,$7.89 ,50,Custom Molded Products
21063-330-000,"3"" Socket x 3"" Socket Union",300-100,135,$17.35 ,$6.25 ,30,Custom Molded Products
21063-350-000,Superflo Union Kit,350157,"135, 170",$23.69 ,$8.53 ,30,Custom Molded Products
21063-750-000,3/4in MIP x 3/4in S Union S-S (High-Temp),075-906,134,$10.68 ,$3.84 ,30,Custom Molded Products
21063-801-000,2in Heater Union Kit; Gray,Raypak 006723F,"135, 170",$26.15 ,$9.41 ,50,Custom Molded Products
21066-150-000,1.5in Tee Body,,,$3.37 ,$1.21 ,25,Custom Molded Products
21090-150-000,1.5in Slip Cap,,,$2.26 ,$0.81 ,25,Custom Molded Products
21093-000-000,Hose Adptr(1.5in MIP x 1.5in x 1.25in); White,"417-6060, SPX1091Z7",151,$1.75 ,$0.63 ,390,Custom Molded Products
21093-001-000,Hose Adptr(1.5in MIP x 1.5in x 1.25in); Gray,,,$1.75 ,$0.63 ,390,Custom Molded Products
21093-004-000,Hose Adptr(1.5in MIP x 1.5in x 1.25in); Black,,,$1.75 ,$0.63 ,390,Custom Molded Products
21093-150-000,"Combo Hose Adapter 1-1/2"" MIP x 1-1/2""; White",SPX1091Z14,151,$1.52 ,$0.55 ,200,Custom Molded Products
21093-154-000,Hose Adptr(1.5in MIP x 1.5in Hose); Black,,,$1.52 ,$0.55 ,200,Custom Molded Products
21097-150-000,1.5in U-Bend Vent Grate Assembly,,137,$9.62 ,$3.46 ,60,Custom Molded Products
21097-200-000,2in U-Bend Vent Grate Assembly,,137,$9.62 ,$3.46 ,60,Custom Molded Products
21098-150-000,1.5in Copper to PVC Adapt,   Flo-Control 935-15,137,$17.72 ,$6.38 ,80,Custom Molded Products
21098-200-000,2in Copper to PVC Adapt,  Flo-Control 935-20,137,$27.00 ,$9.72 ,80,Custom Molded Products
21105-000-000,1.5in Sweep 90 Deg Ell (1.5in Slip x 1.5in Slip),,137,$4.01 ,$1.44 ,100,Custom Molded Products
21106-000-000,1.5in Swp 90 Deg Ell (1.5inS x 1.5inSpg),,137,$4.01 ,$1.44 ,100,Custom Molded Products
21181-100-000,1in Pipe Extension,"418-3000, ISPX-075",139,$2.24 ,$0.81 ,100,Custom Molded Products
21181-150-000,1.5in Pipe Extension,"418-5000, ISPX-100",139,$2.81 ,$1.01 ,100,Custom Molded Products
21181-200-000,2in Pipe Extension,"418-6000, ISPX-150",139,$3.14 ,$1.13 ,100,Custom Molded Products
21181-250-000,2.5in Pipe Extension,ISPX-200,139,$3.45 ,$1.24 ,60,Custom Molded Products
21181-300-000,3in Pipe Extension,,139,$7.71 ,$2.78 ,25,Custom Molded Products
21181-400-000,4in Pipe Extender,,139,$9.71 ,$3.50 ,20,Custom Molded Products
21181-750-000,3/4in Pipe Extension,ISPX-050,139,$1.91 ,$0.69 ,750,Custom Molded Products
21182-150-000,1.5in Fitting Extension,429-2000,140,$5.03 ,$1.81 ,200,Custom Molded Products
21182-200-000,2in Fitting Ext 1-1/2in Socket; 2in Spigot,429-2010,140,$5.30 ,$1.91 ,200,Custom Molded Products
21182-220-000,2in Fitting Extension; 2in Socket,,140,$6.46 ,$2.33 ,200,Custom Molded Products
21182-250-000,2-1/2in Fitting Extender; 2-1/2in Socket,418-7000,140,$11.05 ,$3.98 ,100,Custom Molded Products
21183-100-000,1in Insider Coupling,419-4100,139,$2.24 ,$0.81 ,400,Custom Molded Products
21183-150-000,1.5in Insider Coupling,419-4110,139,$2.40 ,$0.86 ,200,Custom Molded Products
21183-200-000,2in Insider Coupling,419-4120,139,$2.96 ,$1.07 ,200,Custom Molded Products
21184-100-000,Clip-On Pipe Seal; 1in,,138,$4.16 ,$1.50 ,100,Custom Molded Products
21184-150-000,Clip-On Pipe Seal; 1-1/2in,,138,$5.37 ,$1.93 ,50,Custom Molded Products
21184-200-000,Clip-On Pipe Seal; 2in,,138,$6.81 ,$2.45 ,50,Custom Molded Products
21184-230-000,Clip-On Pipe Seal; 2in x 2-1/2in Spigot,,138,$8.48 ,$3.05 ,200,Custom Molded Products
21184-250-000,Clip-On Pipe Seal; 2-1/2in,,138,$10.40 ,$3.74 ,50,Custom Molded Products
