part_number,title,oem,catalog_reference_number,list_price,net_price,case_quantity,manufacturer
25100-050-000,In Ground Skimmer (H Style) 2inFIP without Valve; with FlowSkim White,,,$111.05 ,$39.98 ,each,Custom Molded Products
25100-059-000,"In Ground Skimmer (H Style) 2in FIP , w/o Float Valve (Tan Lid and Collar) w/ FlowSkim Basket",,102,$111.05 ,$39.98 ,each,Custom Molded Products
25100-100-000,In Ground Skimmer (H Style) 2in Slip with Valve; White,SP10712SFVA,,$120.37 ,$43.33 ,each,Custom Molded Products
25100-104-400,"In Ground Skimmer (H Style) 2in Slip , w/Float Valve (All Black)",,,$126.58 ,$45.57 ,each,Custom Molded Products
25100-404-400,"In Ground Skimmer (H Style) 2in Slip , w/Float Valve; All Black",,,$126.58 ,$45.57 ,each,Custom Molded Products
25100-109-000,In Ground Skimmer (H Style) 2in Slip with Valve; White with Tan Lid,SP10712S10FVA,,$120.37 ,$43.33 ,each,Custom Molded Products
25100-110-000,In Ground Skimmer (H Style) 2in Slip without Valve; White,SP10712S,,$95.52 ,$34.39 ,each,Custom Molded Products
25100-114-400,In Ground Skimmer (H Style) 2in Slip without Valve; Black,,,$101.73 ,$36.62 ,each,Custom Molded Products
25100-119-000,In Ground Skimmer (H Style) 2in Slip without Valve; White with Tan Lid,SP10712S10 ,,$95.52 ,$34.39 ,each,Custom Molded Products
25100-119-400,In Ground Skimmer (H Style) 2in Slip without Valve; Black with Tan Lid,,,$101.73 ,$36.62 ,each,Custom Molded Products
25100-140-000,In Ground Skimmer (H Style) 2in Slip with Valve; with FlowSkim White,,102,$135.89 ,$48.92 ,each,Custom Molded Products
25100-150-000,In Ground Skimmer (H Style) 2in Slip without Valve; with FlowSkim White,,,$111.05 ,$39.98 ,each,Custom Molded Products
25100-154-400,In Ground Skimmer (H Style) 2in Slip without Valve; with HD FlowSkim Black,,,$117.26 ,$42.21 ,each,Custom Molded Products
25140-000-000,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip with Valve; White",WW 540-6610,102,$120.37 ,$43.33 ,each,Custom Molded Products
25140-000-040,Skimmer Body Float Valve Gasket,,,$1.98 ,$0.71 ,each,Custom Molded Products
25140-000-060,In Ground Skimmer Diverter Plate,,,$4.04 ,$1.45 ,each,Custom Molded Products
25140-000-100,WW Style Basket Handle,,,$6.36 ,$2.29 ,each,Custom Molded Products
25140-000-700,Float Valve for In Ground Skimmer (W Style),"86500079, SP1070FV",110,$25.14 ,$9.05 ,50,Custom Molded Products
25140-000-800,In Ground Skimmer (W Style) Weir Assembly White,,,$19.08 ,$6.87 ,26,Custom Molded Products
25140-000-900,In Ground Skimmer (W Style) Basket Assembly White,542-3240,163,$10.17 ,$3.66 ,16,Custom Molded Products
25140-001-000,"In Ground Skimmer (W Style) 2in Spg x 2-1/2in Slip, w/Float Valve; All Gray",,,$126.58 ,$45.57 ,each,Custom Molded Products
25140-001-100,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip with Valve; Gray",,,$152.43 ,$54.87 ,each,Custom Molded Products
25140-001-800,In Ground Skimmer (W Style) Weir Assembly Gray,,,$19.08 ,$6.87 ,each,Custom Molded Products
25140-004-800,In Ground Skimmer (W Style) Weir Assembly Black,,,$19.08 ,$6.87 ,each,Custom Molded Products
25140-007-800,In Ground Skimmer (W Style) Weir Assembly Dk Gray,,,$19.08 ,$6.87 ,each,Custom Molded Products
25140-009-000,In Ground Skimmer (W Style) with Valve; White with Tan Lid,,,$120.37 ,$43.33 ,each,Custom Molded Products
25140-009-100,In Ground Skimmer (W Style) with Valve; Gray with Tan Lid,,,$126.58 ,$45.57 ,each,Custom Molded Products
25140-009-800,In Ground Skimmer (W Style) Weir Assembly Tan,,,$19.08 ,$6.87 ,each,Custom Molded Products
25140-009-900,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip with Valve; Tan",,,$126.58 ,$45.57 ,each,Custom Molded Products
25140-010-000,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip without Valve, White",,102,$95.52 ,$34.39 ,each,Custom Molded Products
25140-011-100,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip without Valve; Gray",,,$101.73 ,$36.62 ,each,Custom Molded Products
25140-014-400,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip without Valve; Black",,,$138.79 ,$49.96 ,each,Custom Molded Products
25140-017-700,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip without Valve; Dk Gray",,,$101.73 ,$36.62 ,each,Custom Molded Products
25140-019-000,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip without Valve; White with Tan Lid",,,$95.52 ,$34.39 ,each,Custom Molded Products
25140-019-100,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip without Valve; Gray with Tan Lid",,,$101.73 ,$36.62 ,each,Custom Molded Products
25140-019-900,"In Ground Skimmer (W Style) 2in Spigot x 2-1/2"" Slip without Valve; Tan",,,$101.73 ,$36.62 ,each,Custom Molded Products
25140-210-000,In Ground Skimmer (W Style) without Valve; Single Port; White,540-6510,102,$95.52 ,$34.39 ,each,Custom Molded Products
25140-210-500,"In Ground Skimmer (W Style) 2in Spg x 2-1/2in Slip, w/o Float Valve, Lid and Collar, Single Port; White",,,$86.10 ,$31.00 ,each,Custom Molded Products
25140-219-000,In Ground Skimmer (W Style) without Valve; Single Port; White with Tan Lid,,,$95.52 ,$34.39 ,each,Custom Molded Products
25140-219-100,In Ground Skimmer (W Style) Single Port; Gray with Tan Lid,,,$101.73 ,$36.62 ,each,Custom Molded Products
25140-219-900,In Ground Skimmer (W Style) without Valve; Single Port; Tan,,,$101.73 ,$36.62 ,each,Custom Molded Products
25140-239-000,"In Ground Skimmer (W Style) Single Port; White Square, Tan Lid",,,$101.73 ,$36.62 ,each,Custom Molded Products
25140-250-000,In Ground Skimmer (W Style) without Valve; Single Port; with FlowSkim; White,,102,$111.05 ,$39.98 ,each,Custom Molded Products
25140-259-000,In Ground Skimmer (W Style) without Valve; Single Port; with FlowSkim; White with Tan Lid,,,$111.05 ,$39.98 ,each,Custom Molded Products
25140-259-100,In Ground Skimmer (W Style) without Valve; with FlowSkim; Gray with Tan Lid,,,$117.26 ,$42.21 ,each,Custom Molded Products
25140-500-000,"In Ground Skimmer 2in S, w/float valve, Water Bond, White",,,$198.02 ,$71.29 ,each,Custom Molded Products
25140-500-110,Water Bond SS Plate Replacement Kit,,,$95.12 ,$34.24 ,each,Custom Molded Products
25140-510-000,"In Ground Skimmer 2in S, w/o Float Valve, Water Bond;White",,,$173.16 ,$62.34 ,each,Custom Molded Products
25140-529-000,"In Ground Skimmer 2in S, w/o Float Valve, Water Bond; Tan Lid and Collar",,,$173.16 ,$62.34 ,each,Custom Molded Products
25141-160-000,Skimmer Weir Replacement (5-3/4in); White,,107,$11.03 ,$3.97 ,150,Custom Molded Products
25141-170-000,Skimmer Weir Replacement (5-7/8in); White,,107,$11.19 ,$4.03 ,150,Custom Molded Products
25141-200-000,Skimmer Weir Replacement (6in); White,,107,$11.55 ,$4.16 ,150,Custom Molded Products
25141-300-000,Skimmer Weir Replacement (7in); White,R240007,107,$11.76 ,$4.23 ,150,Custom Molded Products
25141-320-000,Skimmer Weir Replacement (7-1/4in); White,R240058,107,$11.79 ,$4.24 ,150,Custom Molded Products
25141-350-000,Skimmer Weir Replacement (7-5/8in); White,R240061,107,$11.85 ,$4.27 ,60,Custom Molded Products
25141-360-000,Skimmer Weir Replacement (7-13/16in); White,R240063,"107, 167",$11.85 ,$4.27 ,120,Custom Molded Products
25141-364-000,Skimmer Weir Replacement (7-13/16in); Black,,107,$12.48 ,$4.49 ,120,Custom Molded Products
25141-400-000,Skimmer Weir Replacement (8in); White,R240008,107,$11.91 ,$4.29 ,60,Custom Molded Products
25141-401-000,Skimmer Wier Replacement (8in); Gray,,107,$12.84 ,$4.62 ,60,Custom Molded Products
25141-404-000,Skimmer Weir Replacement (8in); Black,,107,$12.53 ,$4.51 ,60,Custom Molded Products
25141-410-000,Skimmer Weir Replacement (8-1/8in); White,R240065,107,$11.92 ,$4.29 ,120,Custom Molded Products
25141-420-000,Skimmer Weir Replacement (8-1/4in); White,,107,$11.94 ,$4.30 ,120,Custom Molded Products
25141-440-000,Skimmer Weir Replacement (8-3/8in); White,R240067,107,$12.69 ,$4.57 ,60,Custom Molded Products
25141-441-000,Skimmer Weir Replacement (8-3/8in); Gray,,107,$13.01 ,$4.68 ,60,Custom Molded Products
25141-444-000,Skimmer Weir Replacement (8-3/8in); Black,,107,$13.01 ,$4.68 ,60,Custom Molded Products
25141-450-000,Skimmer Weir Replacement (8-1/2in); White,,107,$12.15 ,$4.37 ,75,Custom Molded Products
25141-500-000,Skimmer Weir Replacement (9in); White,R240009,107,$13.94 ,$5.02 ,100,Custom Molded Products
25141-540-000,Skimmer Weir Replacement (9-3/8in); White,R240009,107,$14.15 ,$5.09 ,110,Custom Molded Products
25141-600-000,Skimmer Weir Replacement (10in); White,R240010,107,$14.88 ,$5.36 ,96,Custom Molded Products
25141-700-000,Skimmer Weir Replacement (11in); White,,107,$15.91 ,$5.73 ,96,Custom Molded Products
25141-800-000,Skimmer Weir Replacement (12in); White,,107,$16.97 ,$6.11 ,each,Custom Molded Products
25160-000-040,Skimmer Cover Collar; Square; White,,103,$17.28 ,$6.22 ,each,Custom Molded Products
25160-001-040,Skimmer Cover Collar; Square; Gray,,103,$17.28 ,$6.22 ,each,Custom Molded Products
25160-009-040,Skimmer Cover Collar; Square; Tan,,103,$17.28 ,$6.22 ,each,Custom Molded Products
25160-010-000,Vinyl Liner Skimmer (Regular Mouth; Square Lid); White,,103,$174.25 ,$62.73 ,each,Custom Molded Products
25160-010-001,FiberGlass Skimmer (Regular Mouth; Square Lid) White; Solid Front,,103,$209.12 ,$75.28 ,each,Custom Molded Products
25160-010-050,Vinyl Liner Skimmer (Regular Mouth) Gasket Lower,,,$6.85 ,$2.47 ,each,Custom Molded Products
25160-010-060,Vinyl Liner Skimmer (Regular Mouth) Clear Gasket; Without Bump,,111,$5.70 ,$2.05 ,50,Custom Molded Products
25160-010-200,Vinyl Liner Skimmer Deluxe (Regular Mouth; Square Lid); White,,,$232.00 ,$83.52 ,each,Custom Molded Products
25160-010-600,FiberGlass Skimmer Builders Kit with Drains; White,,,$299.98 ,$107.99 ,each,Custom Molded Products
25160-010-620,FiberGlass Skimmer Builders Kit without Drain; White,,,$256.34 ,$92.28 ,each,Custom Molded Products
25160-010-700,FiberGlass Skimmer Builders Kit Assembly; Regular Mouth Assembly; White,,,$308.89 ,$111.20 ,each,Custom Molded Products
25160-010-900,Vinyl Liner Skimmer Builders Kit Assembly; Regular Mouth; White,,105,$332.46 ,$119.69 ,each,Custom Molded Products
25160-011-100,Vinyl Liner Skimmer (Regular Mouth; Square Lid); Gray,,,$174.25 ,$62.73 ,each,Custom Molded Products
25160-011-101,FiberGlass Skimmer (Regular Mouth; Square Lid); Gray; Solid Front,,,$209.12 ,$75.28 ,each,Custom Molded Products
25160-011-600,FiberGlass Skimmer Builders Kit with Drains; Gray,,,$299.98 ,$107.99 ,each,Custom Molded Products
25160-011-700,FiberGlass Skimmer Builders Kit; Regular Mouth Assembly; Gray,,,$308.89 ,$111.20 ,each,Custom Molded Products
25160-011-900,Vinyl Liner Skimmer Builders Kit Assembly; Regular Mouth; Gray,,,$332.46 ,$119.69 ,each,Custom Molded Products
25160-020-000,Vinyl Liner Skimmer (Regular Mouth) Round Cover; White,,103,$209.12 ,$75.28 ,each,Custom Molded Products
25160-051-101,FiberGlass Skimmer (Regular Mouth; Square Lid) Gray; Solid Front,,,$178.97 ,$64.43 ,each,Custom Molded Products
25160-110-000,Vinyl Liner Skimmer (Wide Mouth) White,,103,$215.25 ,$77.49 ,each,Custom Molded Products
25160-110-005,"Wide Mouth Skimmer (without Faceplate, Gaskets, and Mounting Screws) Gunite Pools; White",,,$183.26 ,$65.97 ,each,Custom Molded Products
25160-110-020,Back Gasket for Vinyl Liner Skimmer (Wide Mouth),,,$8.79 ,$3.16 ,26,Custom Molded Products
25160-110-030,Front Gasket for Vinyl Liner Skimmer (Wide Mouth),,111,$7.13 ,$2.57 ,60,Custom Molded Products
25160-110-200,"Vinyl Liner Skimmer, Deluxe, Wide Mouth; White",,,$294.11 ,$105.88 ,each,Custom Molded Products
25160-110-600,Vinyl Liner Skimmer (Wide Mouth) with Extension Collars & Plugs; White,,,$294.22 ,$105.92 ,each,Custom Molded Products
25160-110-900,Vinyl Liner Skimmer Builders Kit Assembly; Wide Mouth; White,,105,$395.81 ,$142.49 ,each,Custom Molded Products
25160-111-100,Vinyl Liner Skimmer (Wide Mouth); Gray,,105,$215.25 ,$77.49 ,each,Custom Molded Products
25160-111-900,Vinyl Liner Skimmer Builders Kit Assembly; Wide Mouth; Gray,,105,$395.81 ,$142.49 ,each,Custom Molded Products
25160-120-000,Vinyl Liner Skimmer (Wide Mouth); Round Cover; White,,103,$278.00 ,$100.08 ,each,Custom Molded Products
25160-150-000,Vinyl Liner Skimmer (Wide Mouth); with FlowSkim; White,,103,$272.80 ,$98.21 ,each,Custom Molded Products
25160-210-000,Vinyl Liner Skimmer (Wide Mouth) with Extended Throat; White,,103,$317.22 ,$114.20 ,each,Custom Molded Products
25160-220-000,Skimmer (Wide Mouth); White; Less V/L Parts,,,$251.88 ,$90.68 ,each,Custom Molded Products
25160-229-000,Skimmer (Wide Mouth); White with Tan Lid; Less V/L Parts,,,$251.88 ,$90.68 ,each,Custom Molded Products
25160-269-212,In Ground Vinyl Liner Skimmer Gasket;Regular Mouth,,,$6.85 ,$2.47 ,each,Custom Molded Products
25160-411-900,"Vinyl Liner Builder's Kit (Kit Includes: 1 VL Skimmer, 2 Main Drains, 4 In/Out Fittings, 4 Direct Flow Outlets and 1 Face Cover)",,105,$143.04 ,$51.49 ,each,Custom Molded Products
25160-451-920,"Vinyl Liner Skimmer (Regular Mouth), Flow Skim Basket,  Builder Kit, Gray",,,$606.73 ,$218.42 ,each,Custom Molded Products
25160-459-215,In Ground Vinyl Liner Skimmer Gasket; Wide Mouth,,,$7.02 ,$2.53 ,each,Custom Molded Products
25160-510-000,"Vinyl Liner Skimmer, Square Lid, 2in Slip x 2-1/2in Spigot Ports, Water Bond; White",,,$251.90 ,$90.68 ,each,Custom Molded Products
25160-610-000,"Vinyl Liner Skimmer, WM, Square Lid, 2in Slip x 2-1/2in Spigot Ports, Water Bond; White",,,$292.90 ,$105.44 ,each,Custom Molded Products
25160-910-000,Vinyl Liner Skimmer; Regular Mouth with Accessory Pack,,,$280.58 ,$101.01 ,each,Custom Molded Products
25215-800-000,2in Slip X Slip Bulkhead Fitting; White,,,$7.74 ,$2.79 ,50,Custom Molded Products
25215-804-000,2in Slip X Slip Bulkhead Fitting; Black,,,$7.74 ,$2.79 ,50,Custom Molded Products
25248-000-000,Front Access Skimmer White,SP1099S,108,$56.57 ,$20.37 ,6,Custom Molded Products
25248-000-051,Front Access Skimmer Basket,,108,$13.53 ,$4.87 ,60,Custom Molded Products
25248-001-000,Front Access Skimmer Gray,,108,$56.57 ,$20.37 ,6,Custom Molded Products
25248-004-000,"Front Access Skimmer, Black",,108,$56.57 ,$20.37 ,6,Custom Molded Products
25248-020-000,"Front Access Skimmer Trim Plate, White",,108,$13.53 ,$4.87 ,each,Custom Molded Products
25248-021-000,"Front Access Skimmer Trim Plate, Gray",,108,$13.53 ,$4.87 ,each,Custom Molded Products
25248-024-000,"Front Access Skimmer Trim Plate, Black",,108,$13.53 ,$4.87 ,each,Custom Molded Products
25248-027-000,"Front Access Skimmer Trim Plate, Graphite Gray",,108,$13.53 ,$4.87 ,each,Custom Molded Products
25248-040-000,Front Access Skimmer Pin; White,,108,$0.67 ,$0.24 ,each,Custom Molded Products
25248-920-000,"Front Access Skimmer Weir Door, White",,108,$13.53 ,$4.87 ,each,Custom Molded Products
25248-921-000,"Front Access Skimmer Weir Door, Gray",,108,$13.53 ,$4.87 ,each,Custom Molded Products
25248-924-000,"Front Access Skimmer Weir Door, Black",,108,$13.53 ,$4.87 ,each,Custom Molded Products
25248-927-000,"Front Access Skimmer Weir Door, Tan",,108,$13.53 ,$4.87 ,each,Custom Molded Products
25251-000-500,S20 Skimmer Weir Door,85001500,110,$8.42 ,$3.03 ,100,Custom Molded Products
25251-100-000,Skimmer Winterizer Tube ING Pool,,154,$6.87 ,$2.47 ,36,Custom Molded Products
25251-110-000,Skimmer Winterizer Tube ABG Pool,,154,$4.67 ,$1.68 ,72,Custom Molded Products
25251-120-000,Skimmer Winterizer Tube Blow-Out Deluxe,,154,$12.24 ,$4.41 ,36,Custom Molded Products
25280-100-000,"Pwr Cleaner Ultra In-Line Chlor, Clear Glass Lid",,62,$137.31 ,$49.43 ,6,Custom Molded Products
25280-100-001,PowerCleaner Ultra Chlorinator Lock Nut,,177,$17.66 ,$6.36 ,100,Custom Molded Products
25280-100-005,PowerCleaner Ultra Chlorinator Grate,,177,$4.68 ,$1.68 ,500,Custom Molded Products
25280-100-019,Nut for PowerCleaner Chlor Flow Meter,,177,$4.34 ,$1.56 ,each,Custom Molded Products
25280-100-023,"1.5"" S Tail Piece, PC Ultra Chlorinator",,177,$4.23 ,$1.52 ,280,Custom Molded Products
25280-100-200,Power Ultra Chlorinator Cover Assembly;White,,177,$25.27 ,$9.10 ,each,Custom Molded Products
25280-100-916,"PowerCleaner Ultra/Mini Chlor; Knob, 2012",,177,$2.38 ,$0.86 ,200,Custom Molded Products
25280-100-930,PowerCleaner Ultra/Mini Chlorinator Dial,,177,$17.99 ,$6.48 ,500,Custom Molded Products
25280-100-950,PowerCleaner Ultra Chlorinator Flow Meter,,177,$15.67 ,$5.64 ,200,Custom Molded Products
25280-109-000,PowerCleaner In-LineChlor; Clear Plast Lid,,62,$129.03 ,$46.45 ,each,Custom Molded Products
25280-109-002,PowerCleanerUltraChlor Cover; Clear Plastic,,62,$17.66 ,$6.36 ,100,Custom Molded Products
25280-109-200,PowerCleanerUltraChlorCover Assembly; Clear Glass,,177,$28.23 ,$10.16 ,50,Custom Molded Products
25280-110-000,"Power Cleaner Ultra Chlorinator, White",,62,$129.03 ,$46.45 ,6,Custom Molded Products
25280-110-002,PowerCleaner Ultra Chlorinator Cover; White,,177,$17.66 ,$6.36 ,200,Custom Molded Products
25280-120-000,PowerCleaner Ultra Chlor Econ In-Line,,63,$120.64 ,$43.43 ,6,Custom Molded Products
25280-140-000,"Pwr Cleaner Ultra Chlorinator Assembly w/ Check Valve, White",,,$176.55 ,$63.56 ,each,Custom Molded Products
25280-200-000,Power Cleaner Mini In-Line Chlorinator,,63,$77.22 ,$27.80 ,12,Custom Molded Products
25280-200-002,PowerCleaner Mini Chlor Lid,,177,$16.47 ,$5.93 ,each,Custom Molded Products
25280-200-960,PowerCleaner Mini Chlorinator Cap w/O-Ring,,177,$3.37 ,$1.21 ,100,Custom Molded Products
25280-300-000,Pwer Cleaner Off-Line Chlor Clear Glass,,62,$166.85 ,$60.07 ,6,Custom Molded Products
25280-300-003,Hose Connector f/Off-Line Chlorinator,,,$4.86 ,$1.75 ,each,Custom Molded Products
25280-300-960,"PowerCleaner Off-Line Chlorinator, UnionAsy",,178,$16.80 ,$6.05 ,each,Custom Molded Products
25280-300-970,PowerCleaner Off-Line Chlorinator Base,,178,$33.31 ,$11.99 ,each,Custom Molded Products
25280-300-980,PowerCleaner Off-Line Chlorinator Hose Clearamp,,178,$23.25 ,$8.37 ,each,Custom Molded Products
25280-309-000,PowerCleanerOff-lineChlor Clear Plastic Lid,,62,$158.53 ,$57.07 ,6,Custom Molded Products
25280-310-000,PowerCleaner Off-Line Chlorinator; White Lid,,,$158.53 ,$57.07 ,6,Custom Molded Products
25280-400-000,PwrCleaner In-LineChlor w/Base(Clear Glass),,62,$164.77 ,$59.32 ,6,Custom Molded Products
25280-409-000,PwrCleaner In-LineChlor w/Base Clear Plastic Lid,,,$156.36 ,$56.29 ,6,Custom Molded Products
25280-410-000,PowerCleaner In-Line Chlor w/Base;White Lid,,62,$156.36 ,$56.29 ,6,Custom Molded Products
25280-615-000,"PowerClean Commercial Chlorinator, 15lb capacity",,64,$204.61 ,$73.66 ,each,Custom Molded Products
25280-630-000,"PowerClean Commercial Chlorinator, 30lb capacity",,64,$247.68 ,$89.16 ,each,Custom Molded Products
25280-640-000,"PowerClean Commercial Chlorinator, 40lb capacity",,64,$290.76 ,$104.67 ,each,Custom Molded Products
25300-000-010,Pool Strainer Tightening Ring,,,$14.04 ,$5.05 ,50,Custom Molded Products
25300-000-020,Pool Strainer Clear Lid,,,$27.39 ,$9.86 ,50,Custom Molded Products
25300-000-030,Pool Strainer Top Lid Gasket,,,$3.17 ,$1.14 ,200,Custom Molded Products
25300-000-040,Pool Strainer Basket,,,$14.04 ,$5.05 ,40,Custom Molded Products
25300-000-060,Pool Strainer 1.5in Union Nut,,,$3.73 ,$1.34 ,300,Custom Molded Products
25300-000-080,Pool Strainer 1.5in Nut O-Ring,,,$1.40 ,$0.50 ,5000,Custom Molded Products
25300-000-090,Pool Strainer Drain Plug,, ,$1.40 ,$0.50 ,500,Custom Molded Products
25300-004-000,Pump Leaf Trap Strainer (1.5in),,66,$60.76 ,$21.87 ,6,Custom Molded Products
25300-004-070,Pool Strainer 1.5in Split Union Nut,,,$2.27 ,$0.82 ,50,Custom Molded Products
25300-100-000,Pump Lid Removal Wrench,,169,$28.18 ,$10.14 ,each,Custom Molded Products
25301-004-000,Pump Leaf Trap Strainer (2in),,66,$62.47 ,$22.49 ,6,Custom Molded Products
25302-054-000,Dynamo Pool Strainer Pot,354530,170,$72.60 ,$26.14 ,12,Custom Molded Products
25303-054-000,ABG Pool Strainer Pot,,170,$77.67 ,$27.96 ,9,Custom Molded Products
25304-000-020,"Pool Strainer Cover, Clear(Sta-rite style)",  C3-1391P1,169,$34.15 ,$12.29 ,40,Custom Molded Products
25305-000-020,"Pool Strainer Cover, Clear(Pentair Style)",355301,169,$37.98 ,$13.67 ,40,Custom Molded Products
25305-126-000,WF Pump Impeller 2 ,73126,169,$78.00 ,$28.08 ,each,Custom Molded Products
25305-127-000,WF Pump Impeller 3 ,73127,169,$78.00 ,$28.08 ,each,Custom Molded Products
25305-128-000,WF Pump Impeller 4 ,73128,169,$78.00 ,$28.08 ,each,Custom Molded Products
25305-129-000,WF Pump Impeller 6 ,73129,169,$78.00 ,$28.08 ,each,Custom Molded Products
25305-130-000,WF Pump Impeller 8 ,73130,169,$78.00 ,$28.08 ,each,Custom Molded Products
25305-131-000,WF Pump Impeller 12 ,73131,169,$78.00 ,$28.08 ,each,Custom Molded Products
25306-000-020,"Pool Strainer Cover, Clear(Hayward Style)",SPX1500D2A,169,$34.15 ,$12.29 ,40,Custom Molded Products
25307-000-020,"Pool Strainer Cover, Clear(Pentair Style)",354531,169,$34.15 ,$12.29 ,40,Custom Molded Products
25307-500-020,Rainbow Chlorinator Lid, R172008W,170,$11.62 ,$4.18 ,30,Custom Molded Products
25355-004-000,UF Pump Seal Plate Kit ,39004910,169,$77.67 ,$27.96 ,12,Custom Molded Products
25356-100-000,Diffuser (1; 2-1/2 HP),C1-200PA,169,$21.40 ,$7.70 ,100,Custom Molded Products
25356-502-000,Seat Assy 2 CPVC Housing,,,$66.42 ,$23.91 ,each,Custom Molded Products
25357-004-000,Challenger Pump Housing  Black,355468,169,$151.18 ,$54.42 ,10,Custom Molded Products
25357-054-000,Plug w/O-ring; 1/4in; Black (Pent Prod),154699,170,$3.14 ,$1.13 ,3000,Custom Molded Products
25357-154-000,Air Release Tee Valve ,154689,"81, 170",$19.59 ,$7.05 ,300,Custom Molded Products
25357-240-000,Air Release Tee Valve ,DEX2400S,81,$20.22 ,$7.28 ,each,Custom Molded Products
25357-300-000,Whisper-Flo Pump Seal Plate,74564, ,$96.66 ,$34.80 ,each,Custom Molded Products
25357-357-000,Air Release Tee Valve With Gauge,RO357,81,$24.90 ,$8.96 ,each,Custom Molded Products
25357-600-000,DE TopMnfld(Pent FNS 59023700; 59000400),FNS 59023700,168,$90.04 ,$32.41 ,4,Custom Molded Products
25357-624-000,2000 Series Manifold (073270Z),073270Z,,$45.02 ,$16.21 ,each,Custom Molded Products
25357-700-000,DE Top Manifold ,DEX2400C,168,$60.08 ,$21.63 ,4,Custom Molded Products
25357-750-000,Cartridge Bottom Manifold ,CX300C,168,$67.04 ,$24.13 ,4,Custom Molded Products
25357-800-000,DE Top Manifold ,R0359000,168,$62.57 ,$22.53 ,4,Custom Molded Products
25357-850-000,Cartrige Top Manifold ,R0357600,168,$85.33 ,$30.72 ,4,Custom Molded Products
25357-982-000,Air Release Tee Valve with Gauge ,98209800,81,$24.90 ,$8.96 ,50,Custom Molded Products
25357-983-000,Air Release Tee Valve ,154687,81,$25.01 ,$9.00 ,300,Custom Molded Products
25398-010-000,"2"" to 1-1/2"" Reducer Bushing",,137,$2.30 ,$0.83 ,200,Custom Molded Products
25501-000-800,0-60 Pressure Test Gauge; Bottom Mount,,137,$5.35 ,$1.93 ,100,Custom Molded Products
25501-000-900,0-60 Pressure Test Gauge; Back Mount,,137,$5.35 ,$1.93 ,100,Custom Molded Products
25501-020-800,0-60 Pressure Gauge; Bot/Side Mount Clam Shell Pack,,137,$6.37 ,$2.29 ,each,Custom Molded Products
25501-020-900,0-60 Pressure Gauge with Bezel; Back Mount Clam Shell Pack,,137,$6.37 ,$2.29 ,each,Custom Molded Products
25501-100-000,2in Pool Pressure Test Kit (CMP),TK-200,137,$29.89 ,$10.76 ,60,Custom Molded Products
25501-100-800,"Bottom Mount Gauge with ""Start Clean"" Bezel",,137,$7.67 ,$2.76 ,each,Custom Molded Products
25501-100-900,"Back Mount Gauge with ""Start Clean"" Bezel",,137,$7.67 ,$2.76 ,each,Custom Molded Products
25501-120-800,0-60 Pressure Gauge with Bezel; Bot/Side Mount Clam Shell Pack,,137,$8.01 ,$2.88 ,each,Custom Molded Products
25501-120-900,0-60 Pressure Gauge with Bezel; Back Mount Clam Shell Pack,,137,$8.01 ,$2.88 ,each,Custom Molded Products
25503-000-000,1-1/2 in MIP Pool Bubbler White,,58,$4.29 ,$1.54 ,50,Custom Molded Products
25503-001-000,1-1/2 in MIP Pool Bubbler Gray,,58,$4.29 ,$1.54 ,50,Custom Molded Products
25503-004-000,1-1/2 in MIP Pool Bubbler  Black,,58,$4.29 ,$1.54 ,50,Custom Molded Products
25503-039-000,1-1/2 in MIP Pool Bubbler Tan,,58,$4.29 ,$1.54 ,50,Custom Molded Products
25504-000-010,"Lid, Water Leveler, White", ,176,$13.37 ,$4.81 ,40,Custom Molded Products
25504-000-020,"Collar, Water Leveler, White",,176,$12.67 ,$4.56 ,each,Custom Molded Products
25504-000-070,1-1/2in socket x 1in spigot adapter,,176,$2.38 ,$0.86 ,each,Custom Molded Products
25504-000-080,2in socket x 1in spigot adapter,,176,$2.82 ,$1.02 ,50,Custom Molded Products
25504-000-100,Water Leveler Float Vlv 3/8in;Thermoplastic,,61,$14.85 ,$5.35 ,100,Custom Molded Products
25504-000-110,"Float, Pool Water Leveler",,61,$6.52 ,$2.35 ,each,Custom Molded Products
25504-000-200,Water Leveler FloatVlv 1/2in;Thermoplastic,,,$20.90 ,$7.52 ,200,Custom Molded Products
25504-000-300,Water Leveler Float Valve Joint,,61,$9.14 ,$3.29 ,each,Custom Molded Products
25504-000-400,Water Leveler Float Valve 3/8in; Brass,,,$20.91 ,$7.53 ,each,Custom Molded Products
25504-001-010,"Lid, Water Leveler, Gray",,176,$13.37 ,$4.81 ,40,Custom Molded Products
25504-001-020,"Collar, Water Leveler, Gray",,176,$12.67 ,$4.56 ,each,Custom Molded Products
25504-009-010,"Lid, Water Leveler, Tan",,176,$13.37 ,$4.81 ,each,Custom Molded Products
